,Player,#,Nation,Pos,Min,Gls,Ast,xG,npxG,xA,Sh,SoT,Fls,Fld,Crs,TklW,Int,CrdY,CrdR
7,Eric Dier,15,eng ENG,CM,90.0,0,0,0.0,0.0,0.0,0,0,1,0,0,2,1,1,0
8,Ben Davies,33,wal WAL,LB,90.0,0,0,0.0,0.0,0.0,0,0,1,1,3,3,2,0,0
9,Jan Vertonghen,5,be BEL,CB,90.0,0,0,0.1,0.1,0.0,1,0,1,0,0,2,2,0,0
10,Toby Alderweireld,4,be BEL,CB,90.0,0,0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0
11,Serge Aurier,24,ci CIV,RB,78.0,0,1,0.0,0.0,0.0,1,0,2,0,2,0,1,0,0
12,Kyle Walker-Peters,16,eng ENG,RB,12.0,0,0,0.0,0.0,0.0,0,0,0,2,0,0,1,0,0
13,Hugo Lloris,1,fr FRA,GK,90.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
0,Salomón Rondón,9,ve VEN,FW,86.0,0,1,0.2,0.2,0.0,4,2,0,2,1,1,0,0,0
1,Joselu,21,es ESP,FW,4.0,0,0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0
2,Ayoze Pérez,17,es ESP,FW,90.0,1,0,0.1,0.1,0.0,2,1,0,3,0,1,1,0,0
3,Christian Atsu,30,gh GHA,CM,89.0,0,0,0.0,0.0,0.1,1,0,2,6,5,1,1,0,0
4,Kenedy,15,br BRA,CM,1.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0
5,Ki Sung-yueng,4,kr KOR,CM,90.0,0,0,0.0,0.0,0.1,0,0,0,0,9,1,0,1,0
6,Mohamed Diamé,10,sn SEN,CM,90.0,0,0,0.0,0.0,0.0,2,0,1,1,1,2,0,0,0
7,Matt Ritchie,11,sco SCO,WB,90.0,0,0,0.0,0.0,0.0,0,0,1,0,6,2,1,0,0
8,DeAndre Yedlin,22,us USA,WB,56.0,0,0,0.0,0.0,0.0,0,0,1,0,2,1,1,0,1
9,Ciaran Clark,2,ie IRL,CB,90.0,0,0,0.1,0.1,0.0,2,0,2,2,3,3,2,1,0
10,Federico Fernández,18,ar ARG,CB,45.0,0,0,0.0,0.0,0.0,1,1,1,0,0,0,1,0,0
11,Javier Manquillo,19,es ESP,RB,45.0,0,0,0.0,0.0,0.0,0,0,0,0,2,1,0,0,0
12,Jamaal Lascelles,6,eng ENG,CB,90.0,0,0,0.0,0.0,0.0,0,0,2,1,0,0,0,0,0
13,Martin Dúbravka,12,sk SVK,GK,90.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
0,Adama Traoré,37,es ESP,FW,60.0,0,0,0.0,0.0,0.0,0,0,1,1,1,0,0,0,0
1,Morgan Gibbs-White,17,eng ENG,RW,30.0,0,0,0.1,0.1,0.2,1,0,1,0,1,0,0,0,0
2,Diogo Jota,18,pt POR,LW,90.0,1,0,0.7,0.7,0.0,2,2,1,3,1,0,0,1,0
3,Hélder Costa,10,pt POR,RW,76.0,0,1,0.0,0.0,0.7,0,0,1,1,6,0,0,1,0
4,João Moutinho,28,pt POR,CM,14.0,0,0,0.0,0.0,0.2,0,0,0,0,1,2,1,0,0
5,Rúben Neves,8,pt POR,CM,90.0,0,0,0.1,0.1,0.1,2,1,1,2,1,3,3,0,0
6,Romain Saïss,27,ma MAR,CM,60.0,0,0,0.0,0.0,0.0,0,0,1,1,0,3,1,0,0
7,Raúl Jiménez,9,mx MEX,FW,30.0,0,0,0.2,0.2,0.0,3,1,1,1,1,0,0,0,0
8,Rúben Vinagre,29,pt POR,WB,90.0,0,0,0.0,0.0,0.0,0,0,1,1,6,1,1,0,0
9,Matt Doherty,2,ie IRL,WB,90.0,1,0,0.8,0.8,0.0,3,2,2,0,1,0,2,1,0
10,Willy Boly,15,fr FRA,CB,90.0,0,0,0.0,0.0,0.0,1,0,2,1,0,0,2,0,0
11,Conor Coady,16,eng ENG,CB,90.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,1,0
12,Ryan Bennett,5,eng ENG,CB,90.0,0,0,0.1,0.1,0.0,1,0,4,0,0,2,0,1,0
13,Rui Patrício,11,pt POR,GK,90.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
0,Richarlison,30,br BRA,FW,90.0,1,0,0.2,0.2,0.0,2,1,0,2,0,0,0,0,0
1,Bernard,20,br BRA,LW,66.0,0,0,0.0,0.0,0.0,0,0,0,0,2,1,0,0,0
2,Dominic Calvert-Lewin,29,eng ENG,FW,24.0,0,0,0.0,0.0,0.0,0,0,0,2,0,2,0,0,0
3,Theo Walcott,11,eng ENG,RW,66.0,0,0,0.0,0.0,0.0,1,1,1,1,1,1,0,0,0
4,Ademola Lookman,31,eng ENG,RW,24.0,0,0,0.0,0.0,0.0,0,0,0,0,3,0,0,0,0
5,Gylfi Sigurðsson,10,is ISL,AM,90.0,0,0,1.0,0.3,0.0,5,1,2,1,7,1,1,0,0
6,Idrissa Gana Gueye,17,sn SEN,CM,71.0,0,0,0.0,0.0,0.0,0,0,1,0,0,1,0,0,0
7,Cenk Tosun,14,tr TUR,FW,19.0,0,0,0.0,0.0,0.0,0,0,1,1,0,1,0,0,0
8,André Gomes,8,pt POR,CM,90.0,0,1,0.0,0.0,0.2,0,0,3,1,1,2,1,0,0
9,Lucas Digne,12,fr FRA,LB,90.0,1,0,0.2,0.2,0.2,2,1,0,1,7,2,1,0,0
10,Yerry Mina,13,co COL,CB,90.0,0,0,0.0,0.0,0.0,1,0,3,2,0,2,2,1,0
11,Michael Keane,4,eng ENG,CB,90.0,0,0,0.0,0.0,0.0,0,0,1,0,0,1,1,0,0
12,Séamus Coleman,23,ie IRL,RB,90.0,0,0,0.0,0.0,0.1,0,0,1,1,3,2,0,0,0
13,Jordan Pickford,1,eng ENG,GK,90.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
0,Troy Deeney,9,eng ENG,FW,90.0,0,0,0.3,0.3,0.1,4,1,1,0,0,3,0,0,0
1,Isaac Success,10,ng NGA,FW,74.0,0,0,0.0,0.0,0.0,0,0,2,5,0,0,0,0,0
2,Nathaniel Chalobah,14,eng ENG,FW,16.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,1,1,0
3,Roberto Pereyra,37,ar ARG,LW,90.0,0,0,0.5,0.5,0.2,5,1,2,2,1,2,1,0,0
4,Ken Sema,12,se SWE,RW,60.0,0,0,0.1,0.1,0.1,1,0,0,0,2,1,0,0,0
5,Gerard Deulofeu,7,es ESP,RW,30.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0
6,Domingos Quina,20,pt POR,CM,90.0,0,0,0.1,0.1,0.1,1,0,2,1,1,2,1,0,0
7,Adrian Mariappa,6,jm JAM,CM,,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
8,Abdoulaye Doucouré,16,fr FRA,CM,90.0,1,0,0.3,0.3,0.0,3,1,0,3,0,2,1,0,0
9,José Holebas,25,gr GRE,LB,90.0,0,0,0.1,0.1,0.0,1,0,1,0,6,3,3,0,0
10,Craig Cathcart,15,nir NIR,CB,90.0,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0
11,Christian Kabasele,27,be BEL,CB,90.0,0,0,0.0,0.0,0.0,0,0,5,0,0,0,3,1,0
12,Kiko Femenía,21,es ESP,RB,90.0,0,0,0.0,0.0,0.2,0,0,0,0,4,0,1,0,0
13,Ben Foster,26,eng ENG,GK,90.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
0,Gabriel Jesus,33,br BRA,FW,90.0,2,0,0.3,0.3,0.2,2,2,0,2,0,0,0,0,0
1,Leroy Sané,19,de GER,LW,66.0,0,2,0.0,0.0,0.3,1,0,0,1,3,0,0,0,0
2,Raheem Sterling,7,eng ENG,LW,24.0,1,0,0.2,0.2,0.0,1,1,0,0,0,0,0,0,0
3,Riyad Mahrez,26,dz ALG,RW,75.0,0,0,0.2,0.2,0.0,2,1,1,1,4,1,0,0,0
4,Kevin De Bruyne,17,be BEL,CM,15.0,0,0,0.0,0.0,0.0,0,0,1,0,2,0,0,0,0
5,İlkay Gündoğan,8,de GER,CM,90.0,0,0,0.2,0.2,0.2,2,0,1,1,4,0,1,0,0
6,Bernardo Silva,20,pt POR,CM,90.0,0,0,0.0,0.0,0.0,0,0,2,1,0,1,1,0,0
7,Fernandinho,25,br BRA,DM,90.0,0,1,0.0,0.0,0.2,1,0,2,1,0,3,2,0,0
8,Fabian Delph,18,eng ENG,LB,90.0,0,0,0.0,0.0,0.0,2,1,0,1,1,3,0,1,0
9,Aymeric Laporte,14,fr FRA,CB,90.0,0,0,0.1,0.1,0.0,2,0,0,1,0,2,0,0,0
10,Nicolás Otamendi,30,ar ARG,CB,90.0,0,0,0.0,0.0,0.0,0,0,0,0,0,2,1,0,0
11,Kyle Walker,2,eng ENG,RB,90.0,0,0,0.0,0.0,0.0,0,0,0,0,4,0,0,0,0
12,Ederson,31,br BRA,GK,90.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
0,Dominic Calvert-Lewin,29,eng ENG,FW,90.0,1,0,0.3,0.3,0.0,3,2,0,0,0,0,0,1,0
1,Bernard,20,br BRA,LW,57.0,0,0,0.0,0.0,0.0,0,0,1,1,1,1,2,0,0
2,Ademola Lookman,31,eng ENG,CM,33.0,0,0,0.0,0.0,0.3,1,0,0,2,3,0,0,0,0
