Player,Pos,Min,Gls,Ast,xG,npxG,xA,Sh,SoT,Fls,Fld,Crs,TklW,Int,CrdY,CrdR,position_group,Premier League
Ayoze Pérez,AM,90.0,0,0,0.0,0.0,0.0,0,0,2,2,2,1,1,0,0,Midfield,PL
Isaac Hayden,CM,90.0,0,0,0.0,0.0,0.0,0,0,1,2,0,1,5,0,0,Midfield,PL
Paul Dummett,LB,90.0,0,0,0.0,0.0,0.0,0,0,0,0,5,2,0,0,0,Defender,PL
Federico Fernández,CB,90.0,0,1,0.0,0.0,0.1,1,0,1,1,1,1,2,0,0,Defender,PL
Jamaal Lascelles,CB,45.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,Defender,PL
Ciaran Clark,CB,45.0,1,0,0.1,0.1,0.0,1,1,0,0,0,0,0,0,0,Defender,PL
DeAndre Yedlin,RB,90.0,0,0,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,Defender,PL
Alexandre Lacazette,FW,90.0,0,0,0.2,0.2,0.1,3,0,3,2,1,1,0,0,0,Forward,PL
Pierre-Emerick Aubameyang,LW,69.0,0,0,0.1,0.1,0.0,2,0,0,1,3,0,1,0,0,Forward,PL
Henrikh Mkhitaryan,LW,21.0,0,0,0.0,0.0,0.0,1,0,1,1,1,0,0,0,0,Forward,PL
Mesut Özil,RW,90.0,1,0,0.1,0.1,0.1,1,1,1,0,2,0,0,0,0,Forward,PL
Danny Welbeck,AM,10.0,0,0,0.1,0.1,0.1,1,0,1,0,0,0,0,0,0,Midfield,PL
Granit Xhaka,DM,90.0,1,0,0.1,0.1,0.1,1,1,0,2,3,0,2,0,0,Midfield,PL
Mattéo Guendouzi,DM,45.0,0,0,0.0,0.0,0.0,0,0,0,1,1,1,2,0,0,Midfield,PL
Lucas Torreira,DM,45.0,0,0,0.1,0.1,0.0,2,0,1,1,0,0,1,0,0,Midfield,PL
Nacho Monreal,LB,90.0,0,0,0.0,0.0,0.0,0,0,2,2,2,0,1,0,0,Defender,PL
Sokratis Papastathopoulos,CB,90.0,0,0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,Defender,PL
Shkodran Mustafi,CB,90.0,0,0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,Defender,PL
Héctor Bellerín,RB,90.0,0,0,0.0,0.0,0.0,0,0,0,1,1,1,0,0,0,Defender,PL
Philip Billing,DM,90.0,0,0,0.2,0.2,0.1,2,0,1,0,2,1,1,0,0,Midfield,PL
Aaron Mooy,DM,90.0,0,0,0.1,0.1,0.1,4,0,3,1,4,2,0,0,0,Midfield,PL
Jordan Ayew,FW,90.0,0,1,0.2,0.2,0.0,1,0,4,2,1,0,0,0,0,Forward,PL
Wilfried Zaha,LW,90.0,1,0,0.2,0.2,0.6,4,2,1,1,0,0,0,1,0,Forward,PL
Andros Townsend,RW,90.0,0,0,0.2,0.2,0.2,2,0,0,2,3,2,1,0,0,Forward,PL
James McArthur,CM,90.0,0,0,0.4,0.4,0.2,1,0,2,1,0,0,1,1,0,Midfield,PL
Cheikhou Kouyaté,CM,90.0,0,0,0.0,0.0,0.0,0,0,2,2,0,0,1,0,0,Midfield,PL
Luka Milivojević,DM,90.0,0,0,0.0,0.0,0.0,0,0,5,1,3,1,1,0,0,Midfield,PL
Patrick van Aanholt,LB,90.0,0,0,0.0,0.0,0.0,0,0,2,0,0,0,2,0,0,Defender,PL
Mamadou Sakho,CB,90.0,0,0,0.0,0.0,0.0,0,0,0,1,0,1,1,0,0,Defender,PL
James Tomkins,CB,90.0,0,0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,Defender,PL
Aaron Wan-Bissaka,RB,90.0,0,0,0.0,0.0,0.0,0,0,0,1,1,1,3,0,0,Defender,PL
Sergio Agüero,FW,54.0,0,1,0.6,0.6,0.8,5,1,0,0,0,1,0,0,0,Forward,PL
Gabriel Jesus,FW,36.0,0,0,0.7,0.7,0.3,3,1,0,0,0,0,0,0,0,Forward,PL
Raheem Sterling,FW,74.0,1,0,1.3,1.3,0.5,5,3,0,1,4,0,1,0,0,Forward,PL
Riyad Mahrez,FW,16.0,0,0,0.1,0.1,0.0,2,0,0,0,0,1,0,0,0,Forward,PL
David Silva,CM,90.0,1,0,0.5,0.5,0.6,1,1,1,0,3,0,2,0,0,Midfield,PL
Fernandinho,CM,90.0,0,1,0.0,0.0,0.7,1,0,0,1,1,1,1,0,0,Midfield,PL
Bernardo Silva,CM,90.0,0,0,0.5,0.5,0.7,4,1,2,3,1,0,0,0,0,Midfield,PL
Fabian Delph,LB,67.0,0,0,0.0,0.0,0.0,0,0,1,0,2,1,3,0,0,Defender,PL
İlkay Gündoğan,CM,23.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,Midfield,PL
Aymeric Laporte,CB,90.0,0,0,0.1,0.1,0.1,1,0,1,1,1,2,0,0,0,Defender,PL
Nicolás Otamendi,CB,90.0,0,0,0.1,0.1,0.0,1,0,2,0,0,2,1,0,0,Defender,PL
Kyle Walker,RB,90.0,0,0,0.0,0.0,0.0,1,0,0,0,1,0,4,0,0,Defender,PL
Ryan Sessegnon,LB,90.0,0,0,0.0,0.0,0.0,0,0,0,0,2,2,0,0,0,Defender,PL
Olivier Giroud,FW,90.0,0,2,0.4,0.4,0.5,3,0,1,0,0,1,1,0,0,Forward,PL
Pedro,RW,68.0,0,0,0.4,0.4,0.0,5,0,0,1,1,0,0,0,0,Forward,PL
Willian,RW,22.0,1,0,0.0,0.0,0.1,1,1,1,1,0,0,0,0,0,Forward,PL
Mateo Kovačić,CM,50.0,0,0,0.3,0.3,0.0,2,2,0,1,0,0,1,0,0,Midfield,PL
Ross Barkley,CM,40.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,Midfield,PL
N'Golo Kanté,CM,90.0,0,0,0.0,0.0,0.0,0,0,2,1,0,1,1,0,0,Midfield,PL
Jorginho,DM,90.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,Midfield,PL
Marcos Alonso,LB,90.0,0,0,0.1,0.1,0.3,1,0,1,1,2,2,0,0,0,Defender,PL
David Luiz,CB,90.0,0,0,0.0,0.0,0.0,0,0,1,2,0,1,2,0,0,Defender,PL
Antonio Rüdiger,CB,90.0,0,0,0.1,0.1,0.1,1,0,0,0,0,0,0,0,0,Defender,PL
César Azpilicueta,RB,90.0,0,0,0.0,0.0,0.3,0,0,1,0,7,2,0,0,0,Defender,PL
Víctor Camarasa,AM,90.0,0,0,0.0,0.0,0.0,0,0,1,0,1,0,3,0,0,Midfield,PL
Andre Gray,FW,90.0,1,0,0.3,0.3,0.0,2,1,2,2,0,0,1,0,0,Forward,PL
Troy Deeney,FW,90.0,0,0,0.0,0.0,0.1,1,1,1,2,1,1,0,0,0,Forward,PL
Roberto Pereyra,CM,90.0,0,0,0.1,0.1,0.1,2,0,1,2,1,0,0,0,0,Midfield,PL
Will Hughes,CM,90.0,0,0,0.1,0.1,0.1,3,1,1,3,2,1,0,0,0,Midfield,PL
Étienne Capoue,DM,90.0,0,0,0.0,0.0,0.0,0,0,2,1,1,1,2,1,0,Midfield,PL
Abdoulaye Doucouré,DM,90.0,0,1,0.1,0.1,0.2,4,1,1,0,0,3,1,0,0,Midfield,PL
José Holebas,LB,84.0,0,0,0.0,0.0,0.3,0,0,0,0,10,2,1,1,0,Defender,PL
Adam Masina,LB,6.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,1,0,0,Defender,PL
Christian Kabasele,CB,90.0,0,0,0.4,0.4,0.0,2,1,1,0,0,2,2,0,0,Defender,PL
Craig Cathcart,CB,88.0,0,0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,Defender,PL
Isaac Success,CM,2.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,Midfield,PL
Daryl Janmaat,RB,72.0,0,0,0.0,0.0,0.0,0,0,0,0,4,1,0,0,0,Defender,PL
Kiko Femenía,RB,18.0,0,0,0.0,0.0,0.1,0,0,0,0,1,1,0,0,0,Defender,PL
Scott McTominay,CM,6.0,0,0,0.0,0.0,0.0,0,0,0,0,2,0,0,0,0,Midfield,PL
Jesse Lingard,RW,71.0,0,0,0.0,0.0,0.3,0,0,2,1,3,0,1,0,0,Forward,PL
Anthony Martial,RW,19.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,Forward,PL
Nemanja Matić,CM,89.0,0,0,0.0,0.0,0.3,0,0,1,1,0,1,2,1,1,Midfield,PL
Paul Pogba,CM,90.0,0,0,0.4,0.4,0.0,5,3,0,2,0,0,0,0,0,Midfield,PL
Ashley Young,LB,90.0,0,0,0.0,0.0,0.6,0,0,2,1,13,0,2,0,0,Defender,PL
Victor Lindelöf,CB,90.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,4,0,0,Defender,PL
Raúl Jiménez,FW,76.0,1,0,1.2,1.2,0.3,6,3,1,1,0,0,0,0,0,Forward,PL
Diogo Jota,AM,88.0,0,0,0.2,0.2,0.8,5,1,2,5,1,0,1,1,0,Midfield,PL
Morgan Gibbs-White,AM,2.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,Midfield,PL
Adama Traoré,AM,24.0,0,0,0.1,0.1,0.5,1,1,0,2,2,0,0,0,0,Midfield,PL
Rúben Neves,DM,90.0,0,0,0.0,0.0,0.3,2,1,3,1,1,2,1,1,0,Midfield,PL
João Moutinho,DM,90.0,0,0,0.0,0.0,0.0,1,0,0,0,7,0,0,0,0,Midfield,PL
Jonny Castro,WB,90.0,0,0,0.2,0.2,0.1,3,0,0,0,2,1,2,0,0,Defender,PL
Matt Doherty,WB,90.0,0,1,0.4,0.4,0.3,3,1,2,0,6,0,2,0,0,Defender,PL
Willy Boly,CB,90.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,2,0,0,Defender,PL
Conor Coady,CB,90.0,0,0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,Defender,PL
Ryan Bennett,CB,90.0,0,0,0.0,0.0,0.0,0,0,1,0,0,1,0,0,0,Defender,PL
Chris Wood,FW,20.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,Forward,PL
Ashley Barnes,FW,56.0,0,0,0.0,0.0,0.0,2,1,0,1,0,0,0,0,0,Forward,PL
Matěj Vydra,FW,34.0,0,0,0.1,0.1,0.0,1,0,0,1,0,1,0,0,0,Forward,PL
Jóhann Berg Guðmundsson,CM,90.0,0,0,0.1,0.1,0.0,3,1,1,1,5,1,3,1,0,Midfield,PL
Jeff Hendrick,CM,79.0,0,0,0.0,0.0,0.0,0,0,0,2,0,0,1,0,0,Midfield,PL
Ashley Westwood,CM,11.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,1,0,0,Midfield,PL
Jack Cork,CM,90.0,0,0,0.0,0.0,0.0,0,0,2,0,1,0,0,1,0,Midfield,PL
Aaron Lennon,CM,90.0,0,0,0.0,0.0,0.0,0,0,0,1,1,2,1,0,0,Midfield,PL
Charlie Taylor,LB,90.0,0,0,0.0,0.0,0.0,0,0,1,1,4,2,2,1,0,Defender,PL
Ben Mee,CB,90.0,0,0,0.0,0.0,0.0,1,0,1,0,0,1,1,0,0,Defender,PL
James Tarkowski,CB,90.0,0,0,0.0,0.0,0.0,1,0,0,1,0,2,1,0,0,Defender,PL
Phil Bardsley,RB,90.0,0,0,0.0,0.0,0.0,1,0,3,2,0,0,2,1,0,Defender,PL
Cenk Tosun,FW,69.0,0,0,0.6,0.6,0.0,3,2,0,1,0,0,0,0,0,Forward,PL
Oumar Niasse,FW,21.0,0,0,0.4,0.4,0.0,2,0,0,0,1,0,0,0,0,Forward,PL
Dominic Calvert-Lewin,LW,90.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,1,0,Forward,PL
Theo Walcott,RW,77.0,0,0,0.0,0.0,0.0,1,0,0,2,5,1,0,0,0,Forward,PL
Gylfi Sigurðsson,AM,90.0,1,0,0.3,0.3,0.0,5,1,1,0,4,0,1,0,0,Midfield,PL
Morgan Schneiderlin,DM,44.0,0,0,0.0,0.0,0.0,0,0,3,1,0,1,0,0,0,Midfield,PL
Bernard,LW,46.0,0,0,0.0,0.0,0.0,0,0,1,4,1,2,0,1,0,Forward,PL
Lucas Digne,LB,90.0,0,0,0.1,0.1,0.8,4,1,2,2,7,2,2,0,0,Defender,PL
Kurt Zouma,CB,90.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,1,0,0,Defender,PL
Mason Holgate,CB,90.0,0,0,0.0,0.0,0.0,0,0,1,1,0,1,1,0,0,Defender,PL
Michail Antonio,FW,26.0,0,0,0.2,0.2,0.0,2,0,1,1,0,1,0,0,0,Forward,PL
Felipe Anderson,CM,90.0,0,0,0.0,0.0,0.4,1,0,1,2,2,1,3,0,0,Midfield,PL
Mark Noble,CM,71.0,0,1,0.0,0.0,0.0,0,0,1,3,0,0,1,0,0,Midfield,PL
Carlos Sánchez,CM,19.0,0,0,0.0,0.0,0.0,1,0,1,0,0,1,1,0,0,Midfield,PL
Andriy Yarmolenko,CM,82.0,2,0,0.6,0.6,0.0,2,2,3,2,1,0,0,1,0,Midfield,PL
Robert Snodgrass,CM,8.0,0,0,0.0,0.0,0.0,0,0,1,3,0,0,0,1,0,Midfield,PL
Declan Rice,DM,90.0,0,0,0.0,0.0,0.0,0,0,1,0,0,2,1,1,0,Midfield,PL
Arthur Masuaku,LB,90.0,0,0,0.0,0.0,0.1,0,0,1,0,2,1,2,1,0,Defender,PL
Issa Diop,CB,90.0,0,0,0.1,0.1,0.0,1,1,0,0,0,2,2,0,0,Defender,PL
Fabián Balbuena,CB,90.0,0,0,0.0,0.0,0.0,0,0,1,0,0,1,3,0,0,Defender,PL
Pablo Zabaleta,RB,90.0,0,0,0.0,0.0,0.0,0,0,1,2,0,1,2,1,0,Defender,PL
Danny Ings,FW,84.0,1,0,1.2,0.4,0.0,3,0,0,1,0,0,0,0,0,Forward,PL
Shane Long,FW,76.0,0,0,0.1,0.1,0.1,1,0,1,1,0,0,1,0,0,Forward,PL
Nathan Redmond,AM,90.0,0,0,0.0,0.0,0.2,1,0,1,1,4,0,1,0,0,Midfield,PL
James Ward-Prowse,AM,14.0,0,0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,Midfield,PL
Pierre Højbjerg,DM,90.0,1,0,0.0,0.0,0.1,1,1,0,3,0,1,7,0,0,Midfield,PL
Ryan Bertrand,LB,90.0,0,0,0.1,0.1,0.0,1,1,2,0,2,0,2,0,0,Defender,PL
Jannik Vestergaard,CB,90.0,0,0,0.0,0.0,0.0,0,0,0,3,0,1,2,0,0,Defender,PL
Cédric Soares,RB,90.0,0,0,0.0,0.0,0.0,1,1,1,2,3,1,1,1,0,Defender,PL
Glenn Murray,FW,90.0,1,0,0.8,0.0,0.1,0,0,3,1,1,0,0,0,0,Forward,PL
Solly March,LW,71.0,0,0,0.0,0.0,0.0,1,0,1,1,3,0,1,0,0,Forward,PL
Alireza Jahanbakhsh,LW,19.0,0,0,0.2,0.2,0.0,3,0,1,0,0,1,0,0,0,Forward,PL
Yves Bissouma,CM,76.0,0,0,0.0,0.0,0.0,1,0,1,0,2,1,0,0,0,Midfield,PL
Jürgen Locadia,CM,14.0,0,0,0.3,0.3,0.1,1,1,1,1,0,0,0,1,0,Midfield,PL
Davy Pröpper,CM,90.0,0,0,0.1,0.1,0.1,1,0,0,0,0,0,1,0,0,Midfield,PL
Dale Stephens,DM,90.0,0,0,0.0,0.0,0.0,0,0,3,0,0,4,2,1,0,Midfield,PL
Gaëtan Bong,LB,90.0,0,0,0.0,0.0,0.0,0,0,2,0,5,1,0,0,0,Defender,PL
