player_id,last_name,first_name,position,club,team_id
61933,Duffy,Shane,2,Brighton,36
62398,Matic,Nemanja,3,Man. United,1
62974,Lamela,Erik,3,Tottenham,6
63426,Stevens,Enda,2,Sheffield,49
66242,Pröpper,Davy,3,Brighton,36
66838,Tosun,Cenk,4,Crystal Palace,31
66975,Milivojevic,Luka,3,Crystal Palace,31
67089,Dubravka,Martin,1,Newcastle,4
6744,Grant,Lee,1,Man. United,1
68312,Shaqiri,Xherdan,4,Liverpool,14
68983,Lowton,Matthew,2,Burnley,90
69140,Mustafi,Shkodran,2,Arsenal,3
71738,Stiepermann,Marco,3,Norwich,45
73426,Gray,Andre,4,Watford,57
74208,Pogba,Paul,3,Man. United,1
74230,van Aanholt,Patrick,2,Crystal Palace,31
74375,Schelotto,Ezequiel,2,Brighton,36
74471,Mooy,Aaron,3,Brighton,36
74854,Moore,Simon,1,Sheffield,49
75115,Callum Wilson,,4,Bournemouth,91
76306,Rupp,Lukas,3,Norwich,45
76359,Jones,Phil,2,Man. United,1
7645,Jagielka,Phil,2,Sheffield,49
77359,Lejeune,Florian,2,Newcastle,4
78007,King,Joshua,4,Bournemouth,91
78056,Romeu,Oriol,3,Southampton,20
78607,McLean,Kenny,3,Norwich,45
78830,Kane,Harry,4,Tottenham,6
78916,Burn,Dan,2,Brighton,36
79852,Steer,Jed,1,Aston Villa,7
79934,Norwood,Oliver,3,Sheffield,49
80146,Ayew,Jordan,4,Crystal Palace,31
80201,Leno,Bernd,1,Arsenal,3
80226,Aurier,Serge,2,Tottenham,6
81012,Fredericks,Ryan,2,West Ham,21
81048,Drmic,Josip,4,Norwich,45
81183,Vydra,Matej,4,Burnley,90
81880,Oxlade-Chamberlain,Alex,3,Liverpool,14
82263,Alonso,Marcos,2,Chelsea,8
82403,Zaha,Wilfried,4,Crystal Palace,31
82691,Baldock,George,2,Sheffield,49
83091,Borja Bastón,,4,Aston Villa,7
83283,Redmond,Nathan,3,Southampton,20
83299,Dunk,Lewis,2,Brighton,36
83312,Gibson,Ben,2,Burnley,90
83314,Hendrick,Jeff,3,Burnley,90
83427,Robinson,Jack,2,Sheffield,49
83428,Hanley,Grant,2,Norwich,45
8432,Pepe Reina,,1,Aston Villa,7
84384,Klose,Timm,2,Norwich,45
84450,Xhaka,Granit,3,Arsenal,3
84939,Ings,Danny,4,Southampton,20
85242,Hourihane,Conor,3,Aston Villa,7
85624,Kabasele,Christian,2,Watford,57
85955,Jorginho,,3,Chelsea,8
