Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls2,Ast3,G+A,G-PK,G+A-PK
91,Massimo Bruno,be BEL,"FW,MF",be Anderlecht,23,1993,4,0,48,0,0,0,0,0,0,0,0,0,0,0
92,Kevin Bua,ch SUI,MF,ch Basel,23,1993,5,1,102,0,0,0,0,0,0,0,0,0,0,0
93,Gianluigi Buffon,it ITA,GK,it Juventus,39,1978,9,9,810,0,0,0,0,0,1,0,0,0,0,0
94,Roman Bürki,ch SUI,GK,de Dortmund,26,1990,6,6,540,0,0,0,0,0,0,0,0,0,0,0
95,Sergio Busquets,es ESP,MF,es Barcelona,29,1988,10,9,768,0,0,0,0,1,0,0,0,0,0,0
96,Bohdan Butko,ua UKR,DF,ua Shakhtar,26,1991,7,7,630,0,1,0,0,1,0,0,0.14,0.14,0,0.14
97,Gary Cahill,eng ENG,DF,eng Chelsea,31,1985,6,5,448,0,0,0,0,1,0,0,0,0,0,0
98,Fabrizio Caligara,it ITA,MF,it Juventus,17,2000,1,0,3,0,0,0,0,1,0,0,0,0,0,0
99,José Callejón,es ESP,FW,it Napoli,30,1987,6,6,507,1,1,0,0,0,0,0.18,0.18,0.36,0.18,0.36
100,Igor de Camargo,be BEL,FW,cy APOEL FC,34,1983,5,3,234,0,0,0,0,0,0,0,0,0,0,0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
101,Emre Can,de GER,MF,eng Liverpool,23,1994,8,6,533,1,0,0,0,3,0,0.17,0,0.17,0.17,0.17
102,Mehdi Carcela,ma MAR,"MF,FW",gr Olympiacos,28,1989,4,4,268,0,0,0,0,0,0,0,0,0,0,0
103,Carlão,br BRA,DF,cy APOEL FC,31,1986,5,5,450,0,1,0,0,1,0,0,0.2,0.2,0,0.2
104,Yannick Carrasco,be BEL,MF,es Atlético Madrid,23,1993,5,3,269,0,0,0,0,0,0,0,0,0,0,0
105,Guido Carrillo,ar ARG,FW,fr Monaco,26,1991,5,1,134,0,0,0,0,0,0,0,0,0,0,0
106,Dani Carvajal,es ESP,DF,es Real Madrid,25,1992,8,8,644,0,3,0,0,4,0,0,0.42,0.42,0,0.42
107,João Carvalho,pt POR,MF,pt Benfica,20,1997,1,1,90,0,0,0,0,0,0,0,0,0,0,0
108,William Carvalho,pt POR,MF,pt Sporting CP,25,1992,5,5,450,0,0,0,0,1,0,0,0,0,0,0
109,Casemiro,br BRA,MF,es Real Madrid,25,1992,12,11,945,1,0,0,0,2,0,0.1,0,0.1,0.1,0.1
110,Kiko Casilla,es ESP,GK,es Real Madrid,30,1986,2,2,180,0,0,0,0,0,0,0,0,0,0,0
111,Iker Casillas,es ESP,GK,pt Porto,36,1981,3,3,270,0,0,0,0,1,0,0,0,0,0,0
112,Gonzalo Castro,de GER,MF,de Dortmund,30,1987,3,1,132,0,1,0,0,1,0,0,0.68,0.68,0,0.68
113,Edinson Cavani,uy URU,FW,fr Paris S-G,30,1987,8,8,680,7,1,1,1,1,0,0.93,0.13,1.06,0.79,0.93
114,Dani Ceballos,es ESP,MF,es Real Madrid,20,1996,4,0,82,0,0,0,0,0,0,0,0,0,0,0
115,Franco Cervi,ar ARG,MF,pt Benfica,23,1994,3,1,97,0,0,0,0,0,0,0,0,0,0,0
116,Bruno César,br BRA,MF,pt Sporting CP,28,1988,5,3,253,2,0,0,0,1,0,0.71,0,0.71,0.71,0.71
117,Júlio César,br BRA,GK,pt Benfica,37,1979,1,1,90,0,0,0,0,0,0,0,0,0,0,0
118,Fyodor Chalov,ru RUS,FW,ru CSKA Moscow,19,1998,3,2,145,0,0,0,0,0,0,0,0,0,0,0
119,Giorgio Chiellini,it ITA,DF,it Juventus,32,1984,7,7,630,0,0,0,0,2,0,0,0,0,0,0
120,Alexandru Chipciu,ro ROU,DF,be Anderlecht,28,1989,2,2,180,0,0,0,0,0,0,0,0,0,0,0
121,Vlad Chiriche_,ro ROU,DF,it Napoli,27,1989,1,1,90,0,0,0,0,1,0,0,0,0,0,0
122,Andreas Christensen,dk DEN,DF,eng Chelsea,21,1996,6,5,454,0,0,0,0,0,0,0,0,0,0,0
123,Jasper Cillessen,nl NED,GK,es Barcelona,28,1989,1,1,90,0,0,0,0,0,0,0,0,0,0,0
124,Orkan Çınar,tr TUR,MF,tr Be_ikta_,21,1996,1,0,22,0,0,0,0,0,0,0,0,0,0,0
125,Nathaniel Clyne,eng ENG,DF,eng Liverpool,26,1991,2,0,9,0,0,0,0,0,0,0,0,0,0,0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
126,Sebastián Coates,uy URU,DF,pt Sporting CP,26,1990,5,5,450,0,1,0,0,3,0,0,0.2,0.2,0,0.2
127,Fábio Coentrão,pt POR,DF,pt Sporting CP,29,1988,4,3,267,0,0,0,0,2,0,0,0,0,0,0
128,Kingsley Coman,fr FRA,"MF,FW",de Bayern Munich,21,1996,6,4,388,2,2,0,0,0,0,0.46,0.46,0.93,0.46,0.93
129,Marvin Compper,de GER,DF,de RB Leipzig,32,1985,1,0,19,0,0,0,0,0,0,0,0,0,0,0
130,Sébastien Corchia,fr FRA,DF,es Sevilla,26,1990,3,1,104,0,0,0,0,0,0,0,0,0,0,0
131,Jesús Corona,mx MEX,MF,pt Porto,24,1993,8,3,318,0,0,0,0,0,0,0,0,0,0,0
132,Ángel Correa,ar ARG,"MF,FW",es Atlético Madrid,22,1995,6,2,254,0,1,0,0,0,0,0,0.35,0.35,0,0.35
133,Joaquín Correa,ar ARG,"MF,FW",es Sevilla,22,1994,8,7,626,1,3,0,0,2,1,0.14,0.43,0.58,0.14,0.58
134,Douglas Costa,br BRA,"MF,FW",it Juventus,26,1990,10,8,719,0,1,0,0,1,0,0,0.13,0.13,0,0.13
135,Thibaut Courtois,be BEL,GK,eng Chelsea,25,1992,8,8,720,0,0,0,0,0,0,0,0,0,0,0
136,Philippe Coutinho,br BRA,"MF,FW",eng Liverpool,25,1992,5,4,347,5,2,1,1,0,0,1.3,0.52,1.82,1.04,1.56
137,Juan Cuadrado,co COL,MF,it Juventus,29,1988,6,5,410,1,1,0,0,1,0,0.22,0.22,0.44,0.22,0.44
138,Mahmoud Dahoud,de GER,MF,de Dortmund,21,1996,3,2,192,0,0,0,0,0,0,0,0,0,0,0
139,Diogo Dalot,pt POR,DF,pt Porto,18,1999,1,1,90,0,0,0,0,1,0,0,0,0,0,0
140,Danilo,br BRA,"DF,MF",eng Manchester City,26,1991,6,4,368,0,0,0,0,2,0,0,0,0,0,0
141,Matteo Darmian,it ITA,DF,eng Manchester Utd,27,1989,3,2,203,0,0,0,0,1,0,0,0,0,0,0
142,Ben Davies,wal WAL,"DF,MF",eng Tottenham,24,1993,5,5,450,0,0,0,0,1,0,0,0,0,0,0
143,Kevin De Bruyne,be BEL,MF,eng Manchester City,26,1991,8,8,667,1,4,0,0,4,0,0.13,0.54,0.67,0.13,0.67
144,Daniele De Rossi,it ITA,MF,it Roma,34,1983,10,9,776,1,1,1,1,0,0,0.12,0.12,0.23,0,0.12
145,Mattia De Sciglio,it ITA,DF,it Juventus,24,1992,6,6,393,0,0,0,0,0,0,0,0,0,0,0
146,Grégoire Defrel,mq MTQ,FW,it Roma,26,1991,5,2,166,0,0,0,0,0,0,0,0,0,0,0
147,Fabian Delph,eng ENG,DF,eng Manchester City,27,1989,5,4,383,0,0,0,0,0,0,0,0,0,0,0
148,Mousa Dembélé,be BEL,MF,eng Tottenham,30,1987,6,3,328,0,0,0,0,2,0,0,0,0,0,0
149,Moussa Dembélé,fr FRA,FW,sco Celtic,21,1996,4,3,266,1,0,0,0,0,0,0.34,0,0.34,0.34,0.34
150,Ousmane Dembélé,fr FRA,"MF,FW",es Barcelona,20,1997,3,2,143,1,0,0,0,0,0,0.63,0,0.63,0.63,0.63
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
151,Diego Demme,de GER,MF,de RB Leipzig,25,1991,4,3,325,0,0,0,0,1,0,0,0,0,0,0
152,Leander Dendoncker,be BEL,"MF,DF",be Anderlecht,22,1995,6,6,540,0,0,0,0,1,0,0,0,0,0,0
153,Dentinho,br BRA,"FW,MF",ua Shakhtar,28,1989,5,0,34,0,0,0,0,0,0,0,0,0,0,0
154,Jan-Arie van der Heijden,nl NED,DF,nl Feyenoord,29,1988,1,1,90,0,0,0,0,0,0,0,0,0,0,0
155,Olivier Deschacht,be BEL,DF,be Anderlecht,36,1981,4,4,326,0,0,0,0,0,0,0,0,0,0,0
156,Gerard Deulofeu,es ESP,"MF,FW",es Barcelona,23,1994,3,2,147,0,0,0,0,0,0,0,0,0,0,0
157,Ángel Di María,ar ARG,FW,fr Paris S-G,29,1988,5,1,143,1,1,0,0,0,0,0.63,0.63,1.26,0.63,1.26
158,Adama Diakhaby,fr FRA,"FW,MF",fr Monaco,21,1996,5,3,228,0,0,0,0,2,0,0,0,0,0,0
159,Lassana Diarra,fr FRA,MF,fr Paris S-G,32,1985,1,0,5,0,0,0,0,0,0,0,0,0,0,0
160,Rúben Dias,pt POR,DF,pt Benfica,20,1997,2,2,180,0,0,0,0,1,0,0,0,0,0,0
161,Amadou Diawara,gn GUI,MF,it Napoli,20,1997,5,4,370,1,0,1,1,1,0,0.24,0,0.24,0,0
162,Brahim Díaz,es ESP,MF,eng Manchester City,17,1999,3,0,52,0,0,0,0,0,0,0,0,0,0,0
163,Serey Die,ci CIV,MF,ch Basel,32,1984,5,3,287,0,0,0,0,1,0,0,0,0,0,0
164,Eric Dier,eng ENG,"MF,DF",eng Tottenham,23,1994,7,7,614,0,1,0,0,1,0,0,0.15,0.15,0,0.15
165,Lucas Digne,fr FRA,DF,es Barcelona,24,1993,3,3,270,1,0,0,0,1,0,0.33,0,0.33,0.33,0.33
166,Virgil van Dijk,nl NED,DF,eng Liverpool,26,1991,6,6,540,0,0,0,0,1,0,0,0,0,0,0
167,Kevin Diks,nl NED,DF,nl Feyenoord,20,1996,3,2,180,0,0,0,0,0,0,0,0,0,0,0
168,Joshgun Diniyev,az AZE,MF,az Qaraba_ FK,21,1995,2,0,64,0,0,0,0,0,0,0,0,0,0,0
169,Bas Dost,nl NED,FW,pt Sporting CP,28,1989,6,3,378,2,0,0,0,1,0,0.48,0,0.48,0.48,0.48
170,Douglas,br BRA,DF,pt Benfica,26,1990,3,3,270,0,0,0,0,0,0,0,0,0,0,0
171,Seydou Doumbia,ci CIV,FW,pt Sporting CP,29,1987,4,2,119,1,1,0,0,1,0,0.76,0.76,1.51,0.76,1.51
172,Julian Draxler,de GER,MF,fr Paris S-G,23,1993,8,3,315,0,1,0,0,1,0,0,0.29,0.29,0,0.29
173,Danny Drinkwater,eng ENG,MF,eng Chelsea,27,1990,3,0,40,0,0,0,0,0,0,0,0,0,0,0
174,Paulo Dybala,ar ARG,"MF,FW",it Juventus,23,1993,8,8,661,1,0,0,0,0,2,0.14,0,0.14,0.14,0.14
175,Alan Dzagoev,ru RUS,"MF,FW",ru CSKA Moscow,27,1990,5,4,367,2,0,0,0,1,0,0.49,0,0.49,0.49,0.49
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
176,Edin D_eko,ba BIH,FW,it Roma,31,1986,12,12,"1,078",8,2,0,0,1,0,0.67,0.17,0.83,0.67,0.83
177,Georgi Dzhikiya,ru RUS,DF,ru Spartak Moscow,23,1993,5,5,420,0,0,0,0,4,0,0,0,0,0,0
178,Lorenzo Ebecilio,nl NED,"MF,FW",cy APOEL FC,25,1991,4,3,259,0,0,0,0,2,0,0,0,0,0,0
179,Ederson,br BRA,GK,eng Manchester City,23,1993,9,9,810,0,0,0,0,1,0,0,0,0,0,0
180,Odsonne Édouard,fr FRA,FW,sco Celtic,19,1998,2,0,37,0,0,0,0,0,0,0,0,0,0,0
181,Giorgos Efrem,cy CYP,MF,cy APOEL FC,28,1989,1,0,30,0,0,0,0,0,0,0,0,0,0,0
182,Omar Elabdellaoui,no NOR,DF,gr Olympiacos,25,1991,4,4,360,0,0,0,0,2,0,0,0,0,0,0
183,Eliseu,pt POR,DF,pt Benfica,33,1983,3,2,199,0,0,0,0,1,0,0,0,0,0,0
184,Mohamed Elyounoussi,no NOR,"FW,MF",ch Basel,22,1994,8,7,641,2,1,0,0,0,0,0.28,0.14,0.42,0.28,0.42
185,Tarik Elyounoussi,no NOR,"FW,MF",az Qaraba_ FK,29,1988,3,0,32,0,0,0,0,0,0,0,0,0,0,0
