Player,Pos,Min,Gls,Ast,xG,npxG,xA,Sh,SoT,Fls,Fld,Crs,TklW,Int,CrdY,CrdR,year,fantasy_points,Position Group,League
Leandro Trossard,FW,90.0,0,0,0.0,0.0,0.5,1,0,1,0,6,0,0,0,0,2019,0.5,Forward,PL
Neal Maupay,FW,74.0,0,0,0.4,0.4,0.0,3,1,0,1,0,0,0,0,0,2019,4.0,Forward,PL
Glenn Murray,FW,16.0,0,0,0.0,0.0,0.0,1,0,1,0,1,1,0,0,0,2019,1.0,Forward,PL
Jürgen Locadia,FW,22.0,0,0,0.3,0.3,0.0,1,0,0,1,0,1,0,0,0,2019,2.0,Forward,PL
Danny Ings,FW,84.0,0,1,0.0,0.0,0.1,1,0,1,0,1,0,0,0,0,2019,5.5,Forward,PL
Che Adams,FW,80.0,0,0,0.3,0.3,0.1,3,0,0,0,0,0,0,0,0,2019,2.5,Forward,PL
Sofiane Boufal,FW,10.0,0,1,0.0,0.0,0.9,0,0,0,1,0,0,0,0,0,2019,6.0,Forward,PL
Andre Gray,FW,90.0,1,0,0.5,0.5,0.9,5,1,0,0,0,0,0,0,0,2019,15.0,Forward,PL
Gerard Deulofeu,LW,74.0,0,0,0.4,0.4,0.1,6,1,1,0,5,0,0,0,0,2019,4.5,Forward,PL
Danny Welbeck,LW,16.0,0,0,0.0,0.0,0.0,0,0,0,2,0,0,0,0,0,2019,1.0,Forward,PL
Will Hughes,RW,74.0,0,1,0.7,0.7,0.3,2,0,1,1,1,2,1,0,0,2019,7.5,Forward,PL
Ismaila Sarr,RW,16.0,0,0,0.0,0.0,0.0,1,0,0,1,1,1,0,0,0,2019,2.0,Forward,PL
Sébastien Haller,FW,90.0,2,0,1.5,1.5,0.0,3,3,4,3,0,1,1,0,0,2019,24.0,Forward,PL
Felipe Anderson,LW,78.0,0,1,0.3,0.3,1.1,4,1,1,2,2,0,0,0,0,2019,8.5,Forward,PL
Pablo Fornals,LW,12.0,0,0,0.1,0.1,0.0,1,1,0,0,0,0,1,0,0,2019,3.5,Forward,PL
Andriy Yarmolenko,RW,55.0,0,0,0.0,0.0,0.4,1,1,2,1,0,1,1,0,0,2019,2.0,Forward,PL
Michail Antonio,RW,35.0,0,0,0.3,0.3,0.1,2,2,0,2,1,1,1,0,0,2019,6.0,Forward,PL
Anthony Martial,FW,90.0,0,1,0.2,0.2,0.1,3,0,1,4,0,0,0,0,0,2019,6.5,Forward,PL
Marcus Rashford,LW,90.0,0,0,0.9,0.1,0.1,3,1,0,2,4,0,1,0,0,2019,4.5,Forward,PL
Daniel James,RW,90.0,1,0,0.6,0.6,0.0,4,1,1,3,5,0,1,1,0,2019,12.0,Forward,PL
Jordan Ayew,FW,75.0,1,0,0.5,0.5,0.0,1,1,2,0,0,2,0,0,0,2019,12.0,Forward,PL
Christian Benteke,FW,15.0,0,0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,2019,1.5,Forward,PL
Andros Townsend,RW,10.0,0,0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,2019,1.5,Forward,PL
Roberto Firmino,FW,86.0,0,0,0.3,0.3,0.0,6,1,0,0,0,0,0,0,0,2019,5.5,Forward,PL
Adam Lallana,FW,4.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2019,1.0,Forward,PL
Sadio Mané,LW,77.0,0,0,0.2,0.2,0.3,3,1,1,2,0,3,1,0,0,2019,5.0,Forward,PL
Alex Oxlade-Chamberlain,LW,13.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2019,1.0,Forward,PL
Mohamed Salah,RW,90.0,2,0,1.3,0.5,0.0,5,1,0,1,0,0,0,0,0,2019,25.0,Forward,PL
Pierre-Emerick Aubameyang,FW,90.0,0,0,0.3,0.3,0.1,2,0,0,1,2,2,0,0,0,2019,3.0,Forward,PL
Nicolas Pépé,FW,90.0,0,0,0.5,0.5,0.2,4,2,1,0,4,0,0,0,0,2019,5.0,Forward,PL
Alexandre Lacazette,FW,9.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,2019,1.0,Forward,PL
Callum Wilson,FW,69.0,0,0,0.4,0.4,0.1,1,1,1,2,0,0,0,0,0,2019,2.0,Forward,PL
Dominic Solanke,FW,21.0,0,0,0.3,0.3,0.0,3,2,0,1,0,0,0,0,0,2019,5.5,Forward,PL
Joshua King,LW,90.0,0,0,0.0,0.0,0.1,1,1,1,1,1,4,0,0,0,2019,4.0,Forward,PL
Harry Wilson,RW,53.0,1,0,0.2,0.2,0.5,2,1,0,2,3,1,0,0,0,2019,14.0,Forward,PL
Sergio Agüero,FW,90.0,2,0,0.7,0.7,0.2,4,2,0,0,0,1,0,0,0,2019,26.5,Forward,PL
Raheem Sterling,LW,90.0,1,0,0.5,0.5,0.1,1,1,1,0,0,1,0,0,0,2019,12.5,Forward,PL
Bernardo Silva,RW,79.0,0,0,0.2,0.2,0.3,2,0,0,0,3,1,0,0,0,2019,2.5,Forward,PL
Riyad Mahrez,RW,11.0,0,0,0.0,0.0,0.1,0,0,1,0,0,1,1,0,0,2019,1.0,Forward,PL
Harry Kane,FW,90.0,0,0,0.1,0.1,0.0,1,0,1,0,3,0,0,0,0,2019,0.5,Forward,PL
Son Heung-min,LW,90.0,0,0,0.2,0.2,0.0,6,2,1,1,3,0,0,0,0,2019,6.0,Forward,PL
Lucas Moura,RW,90.0,0,0,0.5,0.5,0.0,5,0,1,0,0,1,1,0,0,2019,3.5,Forward,PL
Giovani Lo Celso,RW,28.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,2019,1.5,Forward,PL
Joelinton,FW,88.0,1,0,0.2,0.2,0.1,2,2,1,1,0,0,0,1,0,2019,12.0,Forward,PL
Yoshinori Mutō,FW,2.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2019,1.0,Forward,PL
Raúl Jiménez,FW,90.0,1,0,1.0,0.2,0.0,2,0,1,1,1,0,0,0,0,2019,11.0,Forward,PL
Diogo Jota,FW,90.0,0,0,0.3,0.3,0.0,3,0,0,3,1,0,0,0,0,2019,2.5,Forward,PL
Pedro Neto,RW,23.0,0,0,0.0,0.0,0.0,0,0,0,0,2,0,0,0,0,2019,1.0,Forward,PL
Chris Wood,FW,90.0,0,0,0.4,0.4,0.1,3,1,0,0,0,0,0,0,0,2019,4.0,Forward,PL
Ashley Barnes,FW,78.0,1,0,0.4,0.4,0.0,4,1,1,2,0,0,0,0,0,2019,13.5,Forward,PL
Jay Rodriguez,FW,12.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2019,1.0,Forward,PL
Danny Ings,FW,77.0,0,0,0.1,0.1,0.1,2,1,0,2,2,1,0,0,0,2019,4.0,Forward,PL
Che Adams,FW,62.0,0,0,0.3,0.3,0.1,1,0,0,0,1,0,1,0,0,2019,2.0,Forward,PL
Shane Long,FW,28.0,0,0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0,2019,-2.0,Forward,PL
Marcus Rashford,FW,90.0,0,0,1.0,1.0,0.1,5,2,1,3,1,0,0,0,0,2019,5.5,Forward,PL
Daniel James,LW,90.0,1,0,0.3,0.3,0.5,5,4,2,0,6,1,0,0,0,2019,18.0,Forward,PL
