,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
118,Kevin De Bruyne\Kevin-De-Bruyne,be BEL,MF,Manchester City,26,1991,37,36,3073,7,16,0,0,2,0,0.21,0.47,0.67,0.21,0.67,5.4,5.4,12.5,0.16,0.36,0.52,0.16,0.52,Matches
119,Troy Deeney\Troy-Deeney,eng ENG,FW,Watford,29,1988,29,20,1844,5,2,3,5,1,1,0.24,0.10,0.34,0.10,0.20,7.9,3.9,1.8,0.38,0.09,0.47,0.19,0.28,Matches
120,Jermain Defoe\Jermain-Defoe,eng ENG,FW,Bournemouth,34,1982,24,11,1088,4,1,0,0,1,0,0.33,0.08,0.41,0.33,0.41,4.9,4.9,1.1,0.41,0.09,0.49,0.41,0.49,Matches
121,Steven Defour\Steven-Defour,be BEL,MF,Burnley,29,1988,24,24,1997,1,1,0,0,6,0,0.05,0.05,0.09,0.05,0.09,0.8,0.8,1.3,0.04,0.06,0.09,0.04,0.09,Matches
122,Damien Delaney\Damien-Delaney,ie IRL,DF,Crystal Palace,36,1981,2,1,96,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
123,Fabian Delph\Fabian-Delph,eng ENG,DF,Manchester City,27,1989,22,21,1741,1,2,0,0,2,0,0.05,0.10,0.16,0.05,0.16,0.2,0.2,1.1,0.01,0.06,0.07,0.01,0.07,Matches
124,Mousa Dembélé\Mousa-Dembele,be BEL,MF,Tottenham,30,1987,28,21,1879,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.7,0.02,0.03,0.05,0.02,0.05,Matches
125,Laurent Depoitre\Laurent-Depoitre,be BEL,FW,Huddersfield,28,1988,33,18,1820,6,1,0,0,1,0,0.30,0.05,0.35,0.30,0.35,3.7,3.7,0.3,0.18,0.02,0.20,0.18,0.20,Matches
126,Mike van der Hoorn\Mike-van-der-Hoorn,nl NED,DF,Swansea City,24,1992,24,24,1944,1,0,0,0,4,0,0.05,0.00,0.05,0.05,0.05,0.9,0.9,0.3,0.04,0.01,0.06,0.04,0.06,Matches
127,Gerard Deulofeu\Gerard-Deulofeu,es ESP,FWMF,Watford,23,1994,7,5,435,1,0,0,0,0,0,0.21,0.00,0.21,0.21,0.21,0.6,0.6,0.6,0.13,0.12,0.25,0.13,0.25,Matches
128,Fousseni Diabaté\Fousseni-Diabate,ml MLI,MFFW,Leicester City,21,1995,14,5,587,0,1,0,0,1,0,0.00,0.15,0.15,0.00,0.15,0.4,0.4,0.3,0.06,0.05,0.11,0.06,0.11,Matches
129,Mohamed Diamé\Mohamed-Diame,sn SEN,MF,Newcastle Utd,30,1987,31,23,2041,2,0,0,0,3,0,0.09,0.00,0.09,0.09,0.09,1.5,1.5,0.5,0.07,0.02,0.09,0.07,0.09,Matches
130,Brahim Díaz\Brahim-Diaz,es ESP,FWMF,Manchester City,17,1999,5,0,55,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.0,0.93,0.00,0.93,0.93,0.93,Matches
131,Eric Dier\Eric-Dier,eng ENG,MFDF,Tottenham,23,1994,34,32,2824,0,2,0,0,4,0,0.00,0.06,0.06,0.00,0.06,2.2,2.2,2.1,0.07,0.07,0.14,0.07,0.14,Matches
132,Virgil van Dijk\Virgil-van-Dijk,nl NED,DF,Liverpool,26,1991,14,14,1260,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.5,1.5,0.2,0.11,0.02,0.12,0.11,0.12,Matches
133,Virgil van Dijk\Virgil-van-Dijk,nl NED,DF,Southampton,26,1991,12,11,994,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.3,1.3,0.0,0.12,0.00,0.12,0.12,0.12,Matches
134,Abdoulaye Doucouré\Abdoulaye-Doucoure,fr FRA,MF,Watford,24,1993,37,37,3324,7,3,0,0,10,0,0.19,0.08,0.27,0.19,0.27,3.1,3.1,2.3,0.08,0.06,0.14,0.08,0.14,Matches
135,Aleksandar Dragović\Aleksandar-Dragovic,at AUT,DF,Leicester City,26,1991,11,7,769,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.02,0.00,0.02,0.02,0.02,Matches
136,Danny Drinkwater\Danny-Drinkwater,eng ENG,MF,Chelsea,27,1990,12,5,527,1,0,0,0,0,0,0.17,0.00,0.17,0.17,0.17,0.1,0.1,0.1,0.02,0.01,0.04,0.02,0.04,Matches
137,Martin Dúbravka\Martin-Dubravka,sk SVK,GK,Newcastle Utd,28,1989,12,12,1080,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
138,Shane Duffy\Shane-Duffy,ie IRL,DF,Brighton,25,1992,37,37,3292,0,1,0,0,8,0,0.00,0.03,0.03,0.00,0.03,2.3,2.3,0.7,0.06,0.02,0.08,0.06,0.08,Matches
139,Paul Dummett\Paul-Dummett,wal WAL,DF,Newcastle Utd,25,1991,20,19,1602,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.4,0.01,0.02,0.04,0.01,0.04,Matches
140,Lewis Dunk\Lewis-Dunk,eng ENG,DF,Brighton,25,1991,38,38,3420,1,1,0,0,7,0,0.03,0.03,0.05,0.03,0.05,2.7,2.7,0.3,0.07,0.01,0.08,0.07,0.08,Matches
141,Nathan Dyer\Nathan-Dyer,eng ENG,MFFW,Swansea City,29,1987,24,16,1307,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.9,0.9,0.8,0.06,0.06,0.12,0.06,0.12,Matches
142,Ederson\Ederson,br BRA,GK,Manchester City,23,1993,36,36,3194,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.00,0.00,0.00,0.00,Matches
143,Tom Edwards\Tom-Edwards,eng ENG,DF,Stoke City,18,1999,6,6,481,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.00,0.05,0.05,0.00,0.05,Matches
144,Rob Elliot\Rob-Elliot,ie IRL,GK,Newcastle Utd,31,1986,16,16,1440,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
145,Mohamed Elneny\Mohamed-Elneny,eg EGY,MF,Arsenal,25,1992,13,11,867,0,1,0,0,3,1,0.00,0.10,0.10,0.00,0.10,0.3,0.3,0.7,0.03,0.08,0.11,0.03,0.11,Matches
146,Christian Eriksen\Christian-Eriksen,dk DEN,MFFW,Tottenham,25,1992,37,37,3218,10,10,0,0,0,0,0.28,0.28,0.56,0.28,0.56,6.8,6.8,12.2,0.19,0.34,0.53,0.19,0.53,Matches
147,Jonny Evans\Jonny-Evans,nir NIR,DF,West Brom,29,1988,28,26,2270,2,2,0,0,7,0,0.08,0.08,0.16,0.08,0.16,1.7,1.7,0.3,0.07,0.01,0.08,0.07,0.08,Matches
148,Patrice Evra\Patrice-Evra,fr FRA,DFMF,West Ham,36,1981,5,3,228,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
149,Łukasz Fabiański\Lukasz-Fabianski,pl POL,GK,Swansea City,32,1985,38,38,3420,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
150,Cesc Fàbregas\Cesc-Fabregas,es ESP,MF,Chelsea,30,1987,32,25,2307,2,4,0,0,5,2,0.08,0.16,0.23,0.08,0.23,2.3,2.3,6.8,0.09,0.27,0.36,0.09,0.36,Matches
151,Marouane Fellaini\Marouane-Fellaini,be BEL,MF,Manchester Utd,29,1987,16,5,683,4,0,0,0,1,0,0.53,0.00,0.53,0.53,0.53,2.9,2.9,0.1,0.42,0.02,0.44,0.42,0.44,Matches
152,Kiko Femenía\Kiko-Femenia,es ESP,DFMF,Watford,26,1991,23,19,1713,1,1,0,0,2,0,0.05,0.05,0.11,0.05,0.11,0.4,0.4,1.8,0.02,0.10,0.12,0.02,0.12,Matches
153,Leroy Fer\Leroy-Fer,nl NED,MF,Swansea City,27,1990,20,15,1397,1,1,0,0,5,0,0.06,0.06,0.13,0.06,0.13,1.3,1.3,1.3,0.09,0.08,0.17,0.09,0.17,Matches
154,Edimilson Fernandes\Edimilson-Fernandes,ch SUI,MFFW,West Ham,21,1996,14,9,845,0,1,0,0,1,0,0.00,0.11,0.11,0.00,0.11,0.3,0.3,0.5,0.03,0.05,0.09,0.03,0.09,Matches
155,Federico Fernández\Federico-Fernandez,ar ARG,DF,Swansea City,28,1989,30,30,2676,1,1,0,0,5,0,0.03,0.03,0.07,0.03,0.07,0.8,0.8,0.8,0.03,0.03,0.05,0.03,0.05,Matches
156,Fernandinho\Fernandinho,br BRA,MF,Manchester City,32,1985,34,33,2881,5,3,0,0,7,0,0.16,0.09,0.25,0.16,0.25,2.6,2.6,2.3,0.08,0.07,0.16,0.08,0.16,Matches
157,Sam Field\Sam-Field,eng ENG,MF,West Brom,19,1998,10,7,537,1,0,0,0,3,0,0.17,0.00,0.17,0.17,0.17,0.3,0.3,0.2,0.06,0.03,0.08,0.06,0.08,Matches
158,Roberto Firmino\Roberto-Firmino,br BRA,FW,Liverpool,25,1991,37,32,2763,15,7,1,1,1,0,0.49,0.23,0.72,0.46,0.68,11.6,10.9,5.8,0.38,0.19,0.56,0.35,0.54,Matches
159,Darren Fletcher\Darren-Fletcher,sco SCO,MF,Stoke City,33,1984,27,25,2219,1,1,0,0,0,0,0.04,0.04,0.08,0.04,0.08,0.3,0.3,1.1,0.01,0.04,0.06,0.01,0.06,Matches
160,Phil Foden\Phil-Foden,eng ENG,MF,Manchester City,17,2000,5,0,49,0,1,0,0,0,0,0.00,1.84,1.84,0.00,1.84,0.0,0.0,0.4,0.00,0.74,0.74,0.00,0.74,Matches
161,José Fonte\Jose-Fonte,pt POR,DF,West Ham,33,1983,8,8,688,0,1,0,0,0,0,0.00,0.13,0.13,0.00,0.13,0.7,0.7,0.1,0.09,0.01,0.10,0.09,0.10,Matches
162,Fraser Forster\Fraser-Forster,eng ENG,GK,Southampton,29,1988,20,20,1800,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
163,Ben Foster\Ben-Foster,eng ENG,GK,West Brom,34,1983,37,37,3330,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
164,Timothy Fosu-Mensah\Timothy-Fosu-Mensah,nl NED,DF,Crystal Palace,19,1998,21,17,1596,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.5,0.03,0.03,0.06,0.03,0.06,Matches
165,Simon Francis\Simon-Francis,eng ENG,DF,Bournemouth,32,1985,32,31,2705,0,1,0,0,9,2,0.00,0.03,0.03,0.00,0.03,0.5,0.5,1.9,0.02,0.06,0.08,0.02,0.08,Matches
166,Ryan Fraser\Ryan-Fraser,sco SCO,MFDF,Bournemouth,23,1994,26,23,2004,5,3,0,0,0,0,0.22,0.13,0.36,0.22,0.36,2.2,2.2,3.8,0.10,0.17,0.27,0.10,0.27,Matches
167,Christian Fuchs\Christian-Fuchs,at AUT,DF,Leicester City,31,1986,25,21,1921,0,1,0,0,1,0,0.00,0.05,0.05,0.00,0.05,0.4,0.4,0.5,0.02,0.02,0.04,0.02,0.04,Matches
168,Jay Fulton\Jay-Fulton,sco SCO,MF,Swansea City,23,1994,2,0,19,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
169,Ramiro Funes Mori\Ramiro-Funes-Mori,ar ARG,DFMF,Everton,26,1991,4,1,121,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.07,0.00,0.07,0.07,0.07,Matches
170,Manolo Gabbiadini\Manolo-Gabbiadini,it ITA,FW,Southampton,25,1991,28,11,1081,5,0,1,1,2,0,0.42,0.00,0.42,0.33,0.33,2.3,1.6,1.0,0.20,0.08,0.28,0.13,0.21,Matches
171,Jesús Gámez\Jesus-Gamez,es ESP,DF,Newcastle Utd,32,1985,2,1,98,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.03,0.11,0.14,0.03,0.14,Matches
172,Idrissa Gana Gueye\Idrissa-Gana-Gueye,sn SEN,MF,Everton,27,1989,33,32,2751,2,1,0,0,7,2,0.07,0.03,0.10,0.07,0.10,1.5,1.5,1.1,0.05,0.03,0.08,0.05,0.08,Matches
173,Dwight Gayle\Dwight-Gayle,eng ENG,FW,Newcastle Utd,26,1990,35,23,1958,6,3,0,0,3,0,0.28,0.14,0.41,0.28,0.41,8.8,8.8,2.4,0.40,0.11,0.52,0.40,0.52,Matches
174,Paulo Gazzaniga\Paulo-Gazzaniga,ar ARG,GK,Tottenham,25,1992,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
175,David de Gea\David-de-Gea,es ESP,GK,Manchester Utd,26,1990,37,37,3330,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
176,Kieran Gibbs\Kieran-Gibbs,eng ENG,DF,West Brom,27,1989,33,32,2827,0,1,0,0,3,0,0.00,0.03,0.03,0.00,0.03,0.2,0.2,1.6,0.01,0.05,0.06,0.01,0.06,Matches
177,Olivier Giroud\Olivier-Giroud,fr FRA,FW,Chelsea,30,1986,13,6,613,3,1,0,0,0,0,0.44,0.15,0.59,0.44,0.59,4.1,4.1,1.3,0.61,0.19,0.79,0.61,0.79,Matches
178,Olivier Giroud\Olivier-Giroud,fr FRA,FW,Arsenal,30,1986,16,1,388,4,1,0,0,0,0,0.93,0.23,1.16,0.93,1.16,2.9,2.9,0.9,0.69,0.22,0.91,0.69,0.91,Matches
179,Connor Goldson\Connor-Goldson,eng ENG,DF,Brighton,24,1992,3,2,200,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.07,0.00,0.07,0.07,0.07,Matches
180,Heurelho Gomes\Heurelho-Gomes,br BRA,GK,Watford,36,1981,24,24,2128,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
181,Joe Gomez\Joe-Gomez,eng ENG,DF,Liverpool,20,1997,23,21,1902,0,2,0,0,3,0,0.00,0.09,0.09,0.00,0.09,0.2,0.2,1.3,0.01,0.06,0.07,0.01,0.07,Matches
182,Dan Gosling\Dan-Gosling,eng ENG,MF,Bournemouth,27,1990,28,21,1947,2,1,0,0,8,0,0.09,0.05,0.14,0.09,0.14,2.3,2.3,0.8,0.11,0.04,0.15,0.11,0.15,Matches
183,Lee Grant\Lee-Grant,eng ENG,GK,Stoke City,34,1983,3,3,270,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
184,Andre Gray\Andre-Gray,eng ENG,FW,Watford,26,1991,31,16,1498,5,2,0,0,1,0,0.30,0.12,0.42,0.30,0.42,5.8,5.8,1.6,0.35,0.10,0.45,0.35,0.45,Matches
185,Demarai Gray\Demarai-Gray,eng ENG,MFFW,Leicester City,21,1996,35,17,1697,3,1,0,0,2,0,0.16,0.05,0.21,0.16,0.21,2.1,2.1,3.4,0.11,0.18,0.29,0.11,0.29,Matches
186,Pascal Groß\Pascal-Gross,de GER,FWMF,Brighton,26,1991,38,35,2928,7,8,1,1,2,0,0.22,0.25,0.46,0.18,0.43,3.2,2.4,6.2,0.10,0.19,0.29,0.07,0.26,Matches
187,Marko Grujić\Marko-Grujic,rs SRB,DFMF,Liverpool,21,1996,3,0,16,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.16,0.16,0.00,0.16,Matches
188,İlkay Gündoğan\Ilkay-Gundogan,de GER,MF,Manchester City,26,1990,30,15,1517,4,1,1,1,3,0,0.24,0.06,0.30,0.18,0.24,3.8,3.0,1.8,0.22,0.11,0.33,0.18,0.29,Matches
189,Florent Hadergjonaj\Florent-Hadergjonaj,xk KVX,DFMF,Huddersfield,23,1994,23,19,1674,0,1,0,0,3,0,0.00,0.05,0.05,0.00,0.05,0.4,0.4,1.6,0.02,0.09,0.11,0.02,0.11,Matches
190,Massadio Haïdara\Massadio-Haidara,ml MLI,FWMF,Newcastle Utd,24,1992,1,0,4,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
191,Ben Hamer\Ben-Hamer,eng ENG,GK,Leicester City,29,1987,4,3,275,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
192,Rekeem Harper\Rekeem-Harper,eng ENG,MF,West Brom,17,2000,1,0,21,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.17,0.17,0.00,0.17,Matches
193,Joe Hart\Joe-Hart,eng ENG,GK,West Ham,30,1987,19,19,1710,0,1,0,0,0,0,0.00,0.05,0.05,0.00,0.05,0.0,0.0,0.7,0.00,0.04,0.04,0.00,0.04,Matches
194,Isaac Hayden\Isaac-Hayden,eng ENG,MF,Newcastle Utd,22,1995,26,15,1374,1,0,0,0,7,0,0.07,0.00,0.07,0.07,0.07,0.9,0.9,0.9,0.06,0.06,0.12,0.06,0.12,Matches
195,Eden Hazard\Eden-Hazard,be BEL,FWMF,Chelsea,26,1991,34,28,2422,12,4,2,2,2,0,0.45,0.15,0.59,0.37,0.52,7.6,6.1,7.0,0.28,0.26,0.54,0.22,0.48,Matches
196,Tom Heaton\Tom-Heaton,eng ENG,GK,Burnley,31,1986,4,4,305,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
197,Michael Hefele\Michael-Hefele,de GER,DF,Huddersfield,26,1990,2,0,33,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
198,Ahmed Hegazi\Ahmed-Hegazi,eg EGY,DF,West Brom,26,1991,38,38,3386,2,0,0,0,4,0,0.05,0.00,0.05,0.05,0.05,1.4,1.4,0.4,0.04,0.01,0.05,0.04,0.05,Matches
199,Tomer Hemed\Tomer-Hemed,il ISR,FW,Brighton,30,1987,16,9,849,2,2,0,0,0,0,0.21,0.21,0.42,0.21,0.42,2.2,2.2,0.2,0.23,0.02,0.26,0.23,0.26,Matches
200,Jordan Henderson\Jordan-Henderson,eng ENG,MF,Liverpool,27,1990,27,25,2171,1,1,0,0,1,0,0.04,0.04,0.08,0.04,0.08,1.2,1.2,1.9,0.05,0.08,0.13,0.05,0.13,Matches
201,Jeff Hendrick\Jeff-Hendrick,ie IRL,MFFW,Burnley,25,1992,34,29,2331,2,2,0,0,1,0,0.08,0.08,0.15,0.08,0.15,2.9,2.9,1.6,0.11,0.06,0.17,0.11,0.17,Matches
202,Wayne Hennessey\Wayne-Hennessey,wal WAL,GK,Crystal Palace,30,1987,27,27,2430,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
203,Javier Hernández\Javier-Hernandez,mx MEX,FW,West Ham,29,1988,28,16,1548,8,0,0,0,3,0,0.47,0.00,0.47,0.47,0.47,4.6,4.6,1.9,0.27,0.11,0.38,0.27,0.38,Matches
204,Ander Herrera\Ander-Herrera,es ESP,MF,Manchester Utd,27,1989,26,13,1268,0,2,0,0,5,0,0.00,0.14,0.14,0.00,0.14,0.5,0.5,1.2,0.04,0.09,0.12,0.04,0.12,Matches
205,Son Heung-min\Son-Heung-min,kr KOR,FWMF,Tottenham,25,1992,37,27,2317,12,6,0,0,0,0,0.47,0.23,0.70,0.47,0.70,10.0,10.0,6.0,0.39,0.23,0.62,0.39,0.62,Matches
206,Wesley Hoedt\Wesley-Hoedt,nl NED,DF,Southampton,23,1994,28,28,2520,0,1,0,0,7,0,0.00,0.04,0.04,0.00,0.04,1.3,1.3,1.0,0.05,0.04,0.08,0.05,0.08,Matches
207,Jonathan Hogg\Jonathan-Hogg,eng ENG,MF,Huddersfield,28,1988,30,29,2398,0,0,0,0,9,2,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.6,0.02,0.02,0.05,0.02,0.05,Matches
208,Rob Holding\Rob-Holding,eng ENG,DF,Arsenal,21,1995,12,9,822,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.01,0.00,0.01,0.01,0.01,Matches
209,José Holebas\Jose-Holebas,gr GRE,DFMF,Watford,33,1984,28,26,2382,0,4,0,0,7,0,0.00,0.15,0.15,0.00,0.15,0.5,0.5,3.9,0.02,0.15,0.17,0.02,0.17,Matches
210,Mason Holgate\Mason-Holgate,eng ENG,DF,Everton,20,1996,15,13,1184,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.4,0.04,0.03,0.07,0.04,0.07,Matches
211,Callum Hudson-Odoi\Callum-Hudson-Odoi,eng ENG,MF,Chelsea,16,2000,2,0,29,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.22,0.00,0.22,0.22,0.22,Matches
212,Will Hughes\Will-Hughes,eng ENG,MFFW,Watford,22,1995,15,11,990,2,3,0,0,0,0,0.18,0.27,0.45,0.18,0.45,0.9,0.9,1.5,0.08,0.14,0.21,0.08,0.21,Matches
213,Jordan Hugill\Jordan-Hugill,eng ENG,FW,West Ham,25,1992,3,0,25,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
214,Uwe Hünemeier\Uwe-Hunemeier,de GER,DF,Brighton,31,1986,1,0,18,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
215,Emerson Hyndman\Emerson-Hyndman,us USA,MF,Bournemouth,21,1996,1,1,58,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.04,0.04,0.00,0.04,Matches
216,Pierre Højbjerg\Pierre-Hojbjerg,dk DEN,MF,Southampton,21,1995,23,19,1670,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.7,0.04,0.04,0.07,0.04,0.07,Matches
217,Jordon Ibe\Jordon-Ibe,eng ENG,MFFW,Bournemouth,21,1995,32,22,1995,2,6,0,0,1,0,0.09,0.27,0.36,0.09,0.36,2.8,2.8,4.1,0.12,0.19,0.31,0.12,0.31,Matches
218,Vicente Iborra\Vicente-Iborra,es ESP,MF,Leicester City,29,1988,19,17,1410,3,0,0,0,0,0,0.19,0.00,0.19,0.19,0.19,1.6,1.6,0.1,0.10,0.01,0.11,0.10,0.11,Matches
219,Zlatan Ibrahimović\Zlatan-Ibrahimovic,se SWE,FWMF,Manchester Utd,35,1981,5,1,106,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.1,0.22,0.12,0.34,0.22,0.34,Matches
220,Kelechi Iheanacho\Kelechi-Iheanacho,ng NGA,FWMF,Leicester City,20,1996,21,7,830,3,3,0,0,2,0,0.33,0.33,0.65,0.33,0.65,3.6,3.6,1.9,0.39,0.21,0.60,0.39,0.60,Matches
221,Tom Ince\Tom-Ince,eng ENG,MFFW,Huddersfield,25,1992,33,27,2452,2,0,0,0,0,0,0.07,0.00,0.07,0.07,0.07,6.7,6.7,1.1,0.25,0.04,0.29,0.25,0.29,Matches
222,Danny Ings\Danny-Ings,eng ENG,FW,Liverpool,25,1992,8,3,267,1,0,0,0,0,0,0.34,0.00,0.34,0.34,0.34,1.7,1.7,0.2,0.57,0.07,0.64,0.57,0.64,Matches
223,Stephen Ireland\Stephen-Ireland,ie IRL,MF,Stoke City,30,1986,4,1,131,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.27,0.03,0.30,0.27,0.30,Matches
224,Alex Iwobi\Alex-Iwobi,ng NGA,FWMF,Arsenal,21,1996,26,22,1830,3,5,0,0,1,0,0.15,0.25,0.39,0.15,0.39,3.0,3.0,3.4,0.15,0.17,0.31,0.15,0.31,Matches
225,José Izquierdo\Jose-Izquierdo,co COL,MFFW,Brighton,25,1992,32,23,1984,5,3,0,0,2,0,0.23,0.14,0.36,0.23,0.36,4.3,4.3,2.0,0.19,0.09,0.29,0.19,0.29,Matches
226,Phil Jagielka\Phil-Jagielka,eng ENG,DF,Everton,34,1982,25,23,2065,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.0,0.02,0.00,0.02,0.02,0.02,Matches
227,Eldin Jakupović\Eldin-Jakupovic,ch SUI,GK,Leicester City,32,1984,2,2,180,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
228,Matty James\Matty-James,eng ENG,MF,Leicester City,26,1991,13,11,993,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,1.0,1.0,0.1,0.09,0.01,0.10,0.09,0.10,Matches
229,Daryl Janmaat\Daryl-Janmaat,nl NED,DFMF,Watford,28,1989,23,21,1820,3,0,0,0,3,0,0.15,0.00,0.15,0.15,0.15,1.3,1.3,1.0,0.07,0.05,0.12,0.07,0.12,Matches
230,Vincent Janssen\Vincent-Janssen,nl NED,FW,Tottenham,23,1994,1,0,1,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,,,,,,Matches
231,Jesé\Jese,es ESP,FWMF,Stoke City,24,1993,13,8,614,1,1,0,0,0,0,0.15,0.15,0.29,0.15,0.29,0.8,0.8,0.8,0.12,0.12,0.24,0.12,0.24,Matches
232,Gabriel Jesus\Gabriel-Jesus,br BRA,FW,Manchester City,20,1997,29,19,1668,13,3,0,2,6,0,0.70,0.16,0.86,0.70,0.86,13.5,12.0,2.0,0.73,0.11,0.84,0.65,0.75,Matches
233,Glen Johnson\Glen-Johnson,eng ENG,DF,Stoke City,32,1984,9,7,547,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.4,0.03,0.06,0.09,0.03,0.09,Matches
234,Phil Jones\Phil-Jones,eng ENG,DF,Manchester Utd,25,1992,23,23,1973,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.02,0.00,0.02,0.02,0.02,Matches
235,Joselu\Joselu,es ESP,FW,Newcastle Utd,27,1990,30,19,1712,4,1,0,1,2,0,0.21,0.05,0.26,0.21,0.26,6.1,5.4,0.5,0.32,0.02,0.35,0.28,0.31,Matches
236,Mathias Jørgensen\Mathias-Jorgensen,dk DEN,DF,Huddersfield,27,1990,38,38,3420,0,2,0,0,6,0,0.00,0.05,0.05,0.00,0.05,2.0,2.0,0.6,0.05,0.02,0.07,0.05,0.07,Matches
