,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
90,Séamus Coleman\Seamus-Coleman,ie IRL,DF,Everton,29,1988,29,29,2560,2,2,0,0,1,0,0.07,0.07,0.14,0.07,0.14,1.2,1.2,2.4,0.04,0.08,0.13,0.04,0.13,Matches
91,Lewis Cook\Lewis-Cook,eng ENG,MF,Bournemouth,21,1997,13,8,721,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.01,0.01,0.02,0.01,0.02,Matches
92,Steve Cook\Steve-Cook,eng ENG,DF,Bournemouth,27,1991,31,31,2787,1,1,0,0,3,0,0.03,0.03,0.06,0.03,0.06,1.1,1.1,1.3,0.03,0.04,0.08,0.03,0.08,Matches
93,Jack Cork\Jack-Cork,eng ENG,MF,Burnley,29,1989,37,37,3313,1,2,0,0,6,0,0.03,0.05,0.08,0.03,0.08,1.6,1.6,1.5,0.04,0.04,0.08,0.04,0.08,Matches
94,Hélder Costa\Helder-Costa,pt POR,FWMF,Wolves,24,1994,25,16,1346,1,2,0,0,3,0,0.07,0.13,0.20,0.07,0.20,2.4,2.4,1.8,0.16,0.12,0.28,0.16,0.28,Matches
95,Aaron Cresswell\Aaron-Cresswell,eng ENG,DF,West Ham,28,1989,20,18,1590,0,1,0,0,1,0,0.00,0.06,0.06,0.00,0.06,0.5,0.5,1.0,0.03,0.06,0.08,0.03,0.08,Matches
96,Peter Crouch\Peter-Crouch,eng ENG,FW,Burnley,37,1981,6,0,86,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.35,0.00,0.35,0.35,0.35,Matches
97,Greg Cunningham\Greg-Cunningham,ie IRL,DF,Cardiff City,27,1991,7,7,630,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.02,0.02,0.00,0.02,Matches
98,Diogo Dalot\Diogo-Dalot,pt POR,DFMF,Manchester Utd,19,1999,16,12,1014,0,2,0,0,3,0,0.00,0.18,0.18,0.00,0.18,0.4,0.4,1.8,0.04,0.16,0.19,0.04,0.19,Matches
99,Matty Daly\Matty-Daly,eng ENG,MF,Huddersfield,17,2001,2,0,73,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
100,Loïc Damour\Loic-Damour,fr FRA,MF,Cardiff City,27,1991,2,0,21,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.13,0.00,0.13,0.13,0.13,Matches
101,Charlie Daniels\Charlie-Daniels,eng ENG,DF,Bournemouth,31,1986,21,17,1583,1,0,0,0,4,0,0.06,0.00,0.06,0.06,0.06,0.5,0.5,1.1,0.03,0.06,0.09,0.03,0.09,Matches
102,Danilo\Danilo,br BRA,DF,Manchester City,27,1991,11,9,806,1,0,0,0,1,0,0.11,0.00,0.11,0.11,0.11,0.4,0.4,0.3,0.05,0.03,0.08,0.05,0.08,Matches
