,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,
13,Vicente Guaita\Vicente-Guaita,es ESP,GK,Crystal Palace,32,1987,26,26,2340,28,1.08,109,82,.743,9,8,9,8,30.8,1,0,0,1,Matches
14,Angus Gunn\Angus-Gunn,eng ENG,GK,Southampton,23,1996,10,10,900,25,2.50,53,30,.566,2,2,6,2,20.0,2,2,0,0,Matches
15,Tom Heaton\Tom-Heaton,eng ENG,GK,Aston Villa,33,1986,20,20,1795,35,1.75,99,67,.677,6,3,11,4,20.0,3,3,0,0,Matches
16,Dean Henderson\Dean-Henderson,eng ENG,GK,Sheffield Utd,22,1997,26,26,2340,22,0.85,88,66,.750,10,9,7,9,34.6,2,0,1,1,Matches
17,Wayne Hennessey\Wayne-Hennessey,wal WAL,GK,Crystal Palace,32,1987,2,2,180,4,2.00,15,11,.733,0,1,1,0,0.0,0,0,0,0,Matches
18,Tim Krul\Tim-Krul,nl NED,GK,Norwich City,31,1988,26,26,2340,44,1.69,129,87,.682,5,6,15,5,19.2,5,3,2,0,Matches
19,Bernd Leno\Bernd-Leno,de GER,GK,Arsenal,27,1992,27,27,2430,36,1.33,130,97,.762,8,13,6,6,22.2,6,5,1,0,Matches
20,Hugo Lloris\Hugo-Lloris,fr FRA,GK,Tottenham,32,1986,11,11,908,13,1.29,52,40,.769,6,2,3,2,18.2,2,1,1,0,Matches
21,David Martin\David-Martin,eng ENG,GK,West Ham,33,1986,5,4,435,6,1.24,20,14,.700,2,0,2,2,50.0,0,0,0,0,Matches
22,Alex McCarthy\Alex-McCarthy,eng ENG,GK,Southampton,29,1989,18,18,1620,26,1.44,77,52,.675,8,2,8,4,22.2,1,1,0,0,Matches
23,Michael McGovern\Michael-McGovern,nir NIR,GK,Norwich City,35,1984,2,1,158,6,3.42,11,5,.455,0,0,1,0,0.0,1,0,1,0,Matches
24,Simon Moore\Simon-Moore,eng ENG,GK,Sheffield Utd,29,1990,1,1,90,3,3.00,5,2,.400,0,1,0,0,0.0,0,0,0,0,Matches
25,Ørjan Nyland\Orjan-Nyland,no NOR,GK,Aston Villa,28,1990,3,1,177,8,4.07,15,7,.467,0,0,1,0,0.0,0,0,0,0,Matches
26,Rui Patrício\Rui-Patricio,pt POR,GK,Wolves,31,1988,28,28,2520,34,1.21,101,67,.663,10,12,6,7,25.0,2,0,2,0,Matches
27,Jordan Pickford\Jordan-Pickford,eng ENG,GK,Everton,25,1994,28,28,2520,42,1.50,107,68,.617,10,7,11,6,21.4,1,1,0,0,Matches
28,Nick Pope\Nick-Pope,eng ENG,GK,Burnley,27,1992,28,28,2520,39,1.39,119,81,.689,11,5,12,11,39.3,3,2,1,0,Matches
29,Aaron Ramsdale\Aaron-Ramsdale,eng ENG,GK,Bournemouth,21,1998,27,27,2430,42,1.56,131,93,.710,7,6,14,4,14.8,4,4,0,0,Matches
30,Darren Randolph\Darren-Randolph,ie IRL,GK,West Ham,32,1987,2,2,180,5,2.50,9,5,.556,0,1,1,0,0.0,1,1,0,0,Matches
31,Pepe Reina\Pepe-Reina,es ESP,GK,Aston Villa,36,1982,5,5,450,9,1.80,28,19,.679,1,1,3,0,0.0,1,0,1,0,Matches
32,Roberto\Roberto,es ESP,GK,West Ham,33,1986,8,7,686,17,2.23,51,36,.686,0,1,6,0,0.0,1,1,0,0,Matches
33,Mathew Ryan\Mathew-Ryan,au AUS,GK,Brighton,27,1992,28,28,2520,40,1.43,126,91,.698,6,10,12,5,17.9,2,2,0,0,Matches
34,Kasper Schmeichel\Kasper-Schmeichel,dk DEN,GK,Leicester City,32,1986,28,28,2520,28,1.00,103,80,.777,15,5,8,9,32.1,6,5,1,0,Matches
35,Jed Steer\Jed-Steer,eng ENG,GK,Aston Villa,26,1992,1,1,8,0,0.00,0,0,,0,0,1,0,0.0,0,0,0,0,Matches
36,Mark Travers\Mark-Travers,ie IRL,GK,Bournemouth,20,1999,1,1,90,3,3.00,5,2,.400,0,0,1,0,0.0,0,0,0,0,Matches
