Player,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,xG,npxG,xA,PKmiss,FantPts
Solly March,11,7,739.0,0,1,0,0,2,0,0.6,0.6,0.5,0,12
Stephan Lichtsteiner,14,10,940.0,0,0,0,0,3,0,0.0,0.0,0.0,0,8
Stephen Ward,31,31,2690.0,1,1,0,0,2,0,0.4,0.4,2.0,0,42
Steve Cook,85,82,7294.0,4,2,0,0,12,1,4.1,4.1,2.0,0,106
Séamus Coleman,58,54,4759.0,2,4,0,0,6,1,2.7,2.7,3.4,0,81
Tariq Lamptey,1,0,31.0,0,0,0,0,0,0,0.0,0.0,0.1,0,1
Terence Kongolo,45,43,3771.0,1,1,0,0,4,0,1.4000000000000001,1.4000000000000001,1.3,0,52
Tim Ream,26,25,2049.0,0,0,0,0,1,0,0.0,0.0,0.1,0,24
Timothy Fosu-Mensah,33,27,2390.0,0,0,0,0,5,0,0.7,0.7,0.9,0,23
Toby Alderweireld,74,72,6429.0,1,2,0,0,10,0,2.5,2.5,1.7000000000000002,0,74
Tom Edwards,6,6,481.0,0,0,0,0,0,0,0.0,0.0,0.3,0,6
Tommy Smith,39,34,3045.0,0,1,0,0,9,1,0.2,0.2,2.1,0,21
Trent Alexander-Arnold,75,71,6410.0,4,25,0,0,10,0,4.699999999999999,4.699999999999999,17.2,0,220
Tyrone Mings,31,27,2255.0,2,1,0,0,6,0,0.9,0.9,0.6,0,44
Uwe Hünemeier,1,0,18.0,0,0,0,0,0,0,0.0,0.0,0.0,0,1
Valentino Lazaro,3,2,199.0,0,0,0,0,0,1,0.0,0.0,0.1,0,-2
Victor Lindelöf,71,66,6047.0,2,1,0,0,6,0,1.0,1.0,1.7000000000000002,0,84
Vincent Kompany,34,30,2617.0,2,1,0,0,12,0,0.6,0.6,0.4,0,35
Virgil van Dijk,91,90,8069.0,8,2,0,0,3,0,7.9,7.9,1.8,0,175
Wes Morgan,62,54,4900.0,3,0,0,0,7,2,3.6,3.6,0.4,0,68
Wesley Hoedt,41,41,3690.0,0,1,0,0,9,0,1.8,1.8,1.0,0,28
Willy Boly,47,47,4157.0,4,1,0,0,4,2,2.8,2.8,1.2,0,74
Winston Reid,17,17,1452.0,0,0,0,0,5,0,0.3,0.3,0.1,0,7
Yan Valery,31,27,2271.0,2,1,0,0,5,1,0.8,0.8,0.8999999999999999,0,41
Yerry Mina,38,33,2975.0,3,1,0,0,6,0,3.0,3.0,0.4,0,61
Yohan Benalouane,1,1,90.0,0,0,0,0,0,0,0.1,0.1,0.0,0,1
Younès Kaboul,2,2,150.0,0,0,0,0,0,0,0.0,0.0,0.0,0,2
Àngel Rangel,4,2,156.0,0,0,0,0,0,0,0.0,0.0,0.1,0,4
Çağlar Söyüncü,32,30,2711.0,1,1,0,0,5,0,2.0,2.0,0.2,0,37
