Player,Pos,Squad,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK,G+A-PK,xG,npxG,xA,xG.1,xA.1,xG+xA,npxG.1,npxG+xA
Islam Slimani,FW,Newcastle Utd,4,1,132,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.23,0.23,0.0,0.23
Islam Slimani,FW,Leicester City,12,2,249,1,1,0,0,0,0,0.36,0.36,0.72,0.36,0.72,1.2,1.2,0.1,0.45,0.02,0.47,0.45,0.47
Dominic Solanke,FW,Liverpool,21,5,596,1,1,0,0,0,0,0.15,0.15,0.3,0.15,0.3,3.1,3.1,2.0,0.48,0.31,0.79,0.48,0.79
Raheem Sterling,FW,Manchester City,33,29,2587,18,11,1,1,4,2,0.63,0.38,1.01,0.59,0.97,18.3,17.5,6.6,0.63,0.23,0.86,0.61,0.84
Daniel Sturridge,FW,Liverpool,9,5,431,2,1,0,0,0,0,0.42,0.21,0.63,0.42,0.63,2.4,2.4,0.9,0.5,0.19,0.69,0.5,0.69
Daniel Sturridge,FW,West Brom,6,2,118,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.0,0.54,0.04,0.58,0.54,0.58
Alexander Sørloth,FW,Crystal Palace,4,4,360,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.13,0.12,0.25,0.13,0.25
Cenk Tosun,FW,Everton,14,12,986,5,0,0,0,0,0,0.46,0.0,0.46,0.46,0.46,2.4,2.4,1.1,0.22,0.1,0.32,0.22,0.32
Andros Townsend,FW,Crystal Palace,36,35,3120,2,7,0,0,3,0,0.06,0.2,0.26,0.06,0.26,3.2,3.2,5.7,0.09,0.16,0.26,0.09,0.26
Axel Tuanzebe,FW,Manchester Utd,1,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Leonardo Ulloa,FW,Leicester City,4,0,22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.18,0.18,0.18
Leonardo Ulloa,FW,Brighton,10,2,267,1,0,0,0,0,0,0.34,0.0,0.34,0.34,0.34,0.4,0.4,0.2,0.14,0.07,0.21,0.14,0.21
Jamie Vardy,FW,Leicester City,37,37,3247,20,1,5,6,3,0,0.55,0.03,0.58,0.42,0.44,15.6,11.0,2.4,0.43,0.07,0.5,0.3,0.37
Sam Vokes,FW,Burnley,30,7,998,4,1,0,0,3,0,0.36,0.09,0.45,0.36,0.45,3.6,3.6,0.6,0.33,0.06,0.39,0.33,0.39
Theo Walcott,FW,Everton,14,13,1152,3,3,0,0,2,0,0.23,0.23,0.47,0.23,0.47,3.0,3.0,1.6,0.23,0.12,0.36,0.23,0.36
Jonathan Walters,FW,Burnley,3,0,39,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.4,0.0,0.4,0.4,0.4
James Ward-Prowse,FW,Southampton,30,20,1716,3,3,0,0,3,0,0.16,0.16,0.31,0.16,0.31,1.8,1.8,2.8,0.09,0.15,0.24,0.09,0.24
Danny Welbeck,FW,Arsenal,28,12,1194,5,2,0,0,1,0,0.38,0.15,0.53,0.38,0.53,4.6,4.6,1.1,0.35,0.09,0.44,0.35,0.44
Nahki Wells,FW,Burnley,9,0,55,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.86,0.0,0.86,0.86,0.86
Willian,FW,Chelsea,36,20,1890,6,7,1,1,1,0,0.29,0.33,0.62,0.24,0.57,4.8,4.0,5.1,0.23,0.24,0.47,0.19,0.44
Callum Wilson,FW,Bournemouth,28,23,1981,8,2,0,0,0,0,0.36,0.09,0.45,0.36,0.45,8.1,8.1,1.6,0.37,0.07,0.44,0.37,0.44
Chris Wood,FW,Burnley,24,20,1624,10,1,0,0,1,0,0.55,0.06,0.61,0.55,0.61,7.1,7.1,0.9,0.39,0.05,0.44,0.39,0.44
Wilfried Zaha,FW,Crystal Palace,29,28,2549,10,3,1,1,5,0,0.35,0.11,0.46,0.32,0.42,9.5,8.8,5.1,0.34,0.18,0.51,0.31,0.49
