Player,Pos,Squad,MP,Starts,Min,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm
Joe Hart,GK,West Ham,19,19,1710.0,39,2.05,88,53,0.602,3,6,10,4,21.1,5,4,1,0
Tom Heaton,GK,Burnley,4,4,305.0,4,1.18,13,9,0.6920000000000001,1,1,1,0,0.0,0,0,0,0
Wayne Hennessey,GK,Crystal Palace,27,27,2430.0,41,1.52,128,90,0.688,8,6,13,7,25.9,1,1,0,0
Eldin Jakupović,GK,Leicester City,2,2,180.0,6,3.0,13,8,0.5379999999999999,1,0,1,0,0.0,0,0,0,0
Loris Karius,GK,Liverpool,19,19,1710.0,14,0.74,42,30,0.7140000000000001,11,5,3,10,52.6,3,2,1,0
Orestis Karnezis,GK,Watford,15,14,1292.0,24,1.67,52,31,0.596,4,3,7,4,28.6,3,3,0,0
Hugo Lloris,GK,Tottenham,36,36,3240.0,35,0.97,120,87,0.725,22,7,7,15,41.7,3,2,1,0
Jonas Lössl,GK,Huddersfield,38,38,3420.0,57,1.5,154,101,0.6559999999999999,9,10,19,10,26.3,6,4,2,0
Alex McCarthy,GK,Southampton,18,18,1620.0,26,1.44,64,39,0.609,3,8,7,4,22.2,1,1,0,0
Simon Mignolet,GK,Liverpool,19,19,1710.0,24,1.26,57,35,0.614,10,7,2,7,36.8,3,2,1,0
Boaz Myhill,GK,West Brom,1,1,90.0,1,1.0,3,2,0.667,0,1,0,0,0.0,0,0,0,0
David Ospina,GK,Arsenal,5,4,381.0,3,0.71,14,11,0.7859999999999999,3,0,1,2,50.0,0,0,0,0
Jordan Pickford,GK,Everton,38,38,3420.0,58,1.53,175,120,0.6859999999999999,13,10,15,10,26.3,5,3,1,1
Nick Pope,GK,Burnley,35,34,3115.0,35,1.01,151,120,0.7879999999999999,13,11,11,11,32.4,5,3,1,1
Sergio Romero,GK,Manchester Utd,1,1,90.0,0,0.0,4,4,1.0,1,0,0,1,100.0,0,0,0,0
Mathew Ryan,GK,Brighton,38,38,3420.0,54,1.42,172,123,0.6920000000000001,9,13,16,10,26.3,3,1,2,0
Kasper Schmeichel,GK,Leicester City,33,33,2965.0,47,1.43,135,90,0.659,11,10,12,8,24.2,3,1,2,0
Julián Speroni,GK,Crystal Palace,11,11,990.0,14,1.27,42,29,0.69,3,5,3,2,18.2,1,1,0,0
Michel Vorm,GK,Tottenham,1,1,90.0,1,1.0,4,4,0.75,0,1,0,0,0.0,0,0,0,0
Alisson,GK,Liverpool,38,38,3420.0,22,0.58,96,74,0.7709999999999999,30,7,1,21,55.3,1,0,0,1
Kepa Arrizabalaga,GK,Chelsea,36,36,3240.0,39,1.08,117,78,0.675,20,8,8,14,38.9,2,1,1,0
Asmir Begović,GK,Bournemouth,24,24,2160.0,47,1.96,101,58,0.5539999999999999,8,3,13,5,20.8,2,2,0,0
Marcus Bettinelli,GK,Fulham,7,7,630.0,20,2.86,38,19,0.5,1,2,4,0,0.0,3,1,1,1
Artur Boruc,GK,Bournemouth,12,12,1080.0,18,1.5,52,36,0.7120000000000001,4,3,5,4,33.3,3,3,0,0
David Button,GK,Brighton,4,4,360.0,5,1.25,15,12,0.8,1,1,2,1,25.0,2,2,0,0
Willy Caballero,GK,Chelsea,2,2,180.0,0,0.0,3,3,1.0,1,1,0,2,100.0,0,0,0,0
Petr Čech,GK,Arsenal,7,7,585.0,9,1.38,36,27,0.75,5,0,2,2,28.6,0,0,0,0
Joel Coleman,GK,Huddersfield,1,1,90.0,1,1.0,3,1,0.667,0,1,0,0,0.0,0,0,0,0
Martin Dúbravka,GK,Newcastle Utd,38,38,3420.0,48,1.26,135,94,0.6890000000000001,12,9,17,11,28.9,6,6,0,0
Ederson,GK,Manchester City,38,38,3420.0,23,0.61,76,57,0.75,32,2,4,20,52.6,4,4,0,0
Neil Etheridge,GK,Cardiff City,38,38,3420.0,69,1.82,201,135,0.677,10,4,24,10,26.3,7,4,3,0
Łukasz Fabiański,GK,West Ham,38,38,3420.0,55,1.45,191,139,0.733,15,7,16,7,18.4,5,4,1,0
Fabricio,GK,Fulham,2,2,180.0,5,2.5,23,18,0.7829999999999999,0,0,2,0,0.0,0,0,0,0
Fraser Forster,GK,Southampton,1,1,90.0,3,3.0,6,3,0.5,0,0,1,0,0.0,0,0,0,0
Ben Foster,GK,Watford,38,38,3420.0,59,1.55,173,118,0.682,14,8,16,7,18.4,5,4,1,0
Paulo Gazzaniga,GK,Tottenham,3,3,270.0,2,0.67,13,11,0.846,2,0,1,1,33.3,0,0,0,0
David de Gea,GK,Manchester Utd,38,38,3420.0,54,1.42,169,124,0.716,19,9,10,7,18.4,6,6,0,0
Vicente Guaita,GK,Crystal Palace,20,20,1755.0,23,1.18,82,60,0.732,10,4,6,7,35.0,1,1,0,0
Angus Gunn,GK,Southampton,12,12,1080.0,18,1.5,48,30,0.625,4,4,4,3,25.0,1,0,1,0
Ben Hamer,GK,Huddersfield,7,7,553.0,21,3.42,37,20,0.514,0,1,6,1,14.3,3,3,0,0
