Player,Gls,Ast,xG,npxG,xA,Sh,SoT,Fls,Fld,Crs,TklW,Int,CrdY,CrdR,MP,PKmiss,FantPts
Raheem Sterling,43,21,41.4,39.699999999999996,20.8,220,86,100,126,160,53,36,11,1,90,1,776.5
Raúl Jiménez,25,12,25.999999999999996,22.099999999999994,11.3,202,60,72,63,39,36,40,7,0,65,0,518.0
Reiss Nelson,0,0,0.6,0.6,0.30000000000000004,9,3,6,6,17,6,4,1,0,10,0,16.0
Richarlison,25,5,22.099999999999998,22.099999999999998,6.599999999999999,224,63,84,182,128,84,41,14,1,98,0,525.0
Riyad Mahrez,16,16,10.7,9.9,15.099999999999996,123,58,19,57,189,36,33,1,0,49,1,446.0
Roberto Firmino,29,20,32.600000000000016,31.800000000000015,16.299999999999994,219,85,113,41,57,86,23,1,0,98,0,664.5
Roberto Pereyra,11,2,6.699999999999998,5.999999999999998,2.5000000000000004,64,26,33,54,50,21,25,5,0,54,0,225.0
Sadio Mané,44,13,34.39999999999998,34.39999999999998,13.199999999999989,199,90,93,135,99,78,36,7,1,89,0,773.5
Sam Surridge,0,0,0.1,0.1,0.0,1,0,0,1,0,0,0,0,0,3,0,3.5
Sergio Agüero,57,17,49.79999999999999,43.699999999999996,14.099999999999998,276,101,39,50,40,23,19,7,0,79,1,986.5
Shane Long,9,4,13.099999999999996,13.099999999999996,3.200000000000001,89,32,86,80,47,25,17,9,0,73,0,192.5
Son Heung-min,31,17,21.1,20.3,11.299999999999994,179,80,32,56,106,26,26,2,3,89,1,663.5
Steven Bergwijn,2,0,1.0,1.0,0.5,7,3,4,7,2,3,2,1,0,3,0,27.5
Sébastien Haller,7,1,6.9,6.9,2.1,51,25,42,38,8,14,8,1,0,25,0,130.0
Tahith Chong,0,0,0.2,0.2,0.0,3,1,0,2,0,0,0,0,0,5,0,8.0
Takumi Minamino,0,0,0.5,0.5,0.0,1,0,1,0,0,0,0,0,0,2,0,1.5
Tammy Abraham,17,4,17.0,17.0,2.7000000000000006,107,40,30,45,20,10,4,2,0,56,0,332.5
Teemu Pukki,11,3,11.899999999999999,10.299999999999999,3.2000000000000006,73,31,23,12,8,11,6,3,0,26,0,213.5
Todd Cantwell,6,2,5.699999999999999,5.699999999999999,2.400000000000001,35,15,21,52,21,26,13,4,0,27,0,127.5
Troy Deeney,20,8,23.10000000000001,15.999999999999991,8.199999999999998,125,52,87,76,29,44,23,8,2,77,3,363.0
Trézéguet,3,1,2.0,2.0,0.4,27,7,17,18,38,14,11,3,1,24,0,67.5
Wesley Moraes,5,1,5.3999999999999995,4.600000000000001,0.8999999999999999,35,17,43,14,7,10,4,3,0,21,1,72.0
Willian,12,16,10.899999999999999,9.299999999999997,12.999999999999996,138,49,27,81,321,52,37,5,0,94,0,444.0
Xherdan Shaqiri,10,7,7.299999999999999,6.599999999999999,3.9000000000000004,58,30,25,44,141,9,19,5,0,66,1,249.0
Yoshinori Mutō,1,0,0.8999999999999999,0.8999999999999999,0.4,5,3,15,11,5,8,4,1,0,24,0,30.0
