Player,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,xG,npxG,xA,PKmiss,FantPts
Harvey Elliot,2.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,2.0
Henri Lansbury,9.0,2.0,189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,9.0
Henri Saivet,1.0,1.0,83.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
Henrikh Mkhitaryan,15.0,11.0,922.0,1.0,5.0,0.0,0.0,2.0,0.0,1.0,1.0,3.4,0.0,46.0
Ibrahim Afellay,6.0,1.0,166.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
Ibrahima Cissé,3.0,1.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Idrissa Gana Gueye,33.0,32.0,2788.0,1.0,1.5,0.0,0.0,6.5,1.0,1.1,1.1,1.1,0.0,32.5
Ignacio Pussetto,4.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Isaac Hayden,24.3,19.0,1678.3,1.0,1.7,0.0,0.0,4.7,0.7,0.8,0.8,1.3,0.0,29.9
Izzy Brown,13.0,4.0,311.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.7,0.0,13.0
Jack Cork,33.3,33.3,2973.7,1.0,1.0,0.0,0.0,4.3,0.0,1.7,1.7,1.0,0.0,39.699999999999996
Jack Wilshere,11.3,6.0,585.7,0.3,1.3,0.0,0.0,2.7,0.0,0.4,0.4,0.9,0.0,15.4
Jacob Murphy,9.0,3.0,299.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1,0.1,0.4,0.0,14.0
Jake Livermore,34.0,30.0,2674.0,2.0,2.0,0.0,0.0,5.0,0.0,2.1,2.1,2.3,0.0,54.0
James Garner,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
James Maddison,31.0,30.0,2536.0,6.5,5.0,0.5,1.0,4.0,0.5,5.8,5.0,6.8,0.5,108.0
James McArthur,32.3,29.7,2592.0,2.7,3.0,0.0,0.0,5.7,0.0,4.1,4.1,2.2,0.0,62.9
James McCarthy,9.0,4.3,418.7,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.1,0.0,5.0
James McClean,30.0,14.0,1406.0,1.0,0.0,0.0,0.0,7.0,0.0,1.7,1.7,1.3,0.0,26.0
James Milner,26.7,13.7,1409.7,2.7,3.0,1.7,1.7,4.0,0.3,2.5,1.2,2.9,0.0,59.2
James Morrison,4.0,2.0,207.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.1,0.0,14.0
James Ward-Prowse,26.5,24.0,2186.0,5.5,1.0,1.0,1.5,5.5,0.0,3.9,2.7,3.4,0.5,73.0
Jamie Murphy,4.0,1.0,168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Jason Puncheon,7.0,3.7,345.3,0.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,0.4,0.0,3.0
Jay Fulton,2.0,0.0,19.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Jaïro Riedewald,12.0,4.0,442.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,12.0
Jean Seri,32.0,27.0,2250.0,1.0,2.0,0.0,0.0,6.0,0.0,1.1,1.1,3.7,0.0,40.0
Jean-Philippe Gbamin,2.0,1.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Jeff Hendrick,29.3,24.7,2051.7,2.3,1.3,0.0,0.0,4.0,0.0,2.0,2.0,1.3,0.0,50.8
Jefferson Lerma,26.0,24.5,2142.5,1.0,0.5,0.0,0.0,11.5,0.5,0.8,0.8,0.8,0.0,13.0
Jeffrey Schlupp,22.0,13.5,1262.0,3.0,1.0,0.0,0.0,1.5,0.0,2.2,2.2,1.2,0.0,54.0
Jeremie Boga,1.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Jerome Sinclair,4.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,4.0
Jesse Lingard,26.5,14.5,1354.0,4.0,2.5,0.0,0.0,2.5,0.0,4.6,4.6,2.1,0.0,74.0
Joe Allen,36.0,36.0,3139.0,2.0,6.0,0.0,0.0,8.0,0.0,2.4,2.4,2.7,0.0,70.0
Joe Lolley,6.0,2.0,221.0,1.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.1,0.0,14.0
Joe Ralls,28.0,22.0,1958.0,0.0,0.0,0.0,1.0,4.0,1.0,1.5,0.8,2.0,1.0,10.0
Joe Willock,7.7,2.7,240.0,0.0,0.0,0.0,0.0,0.3,0.0,0.4,0.4,0.2,0.0,7.1000000000000005
John Fleck,24.0,24.0,2099.0,5.0,2.0,0.0,0.0,7.0,0.0,3.4,3.4,3.2,0.0,70.0
John Lundstram,26.0,22.0,1979.0,4.0,2.0,0.0,0.0,4.0,0.0,4.0,4.0,2.2,0.0,68.0
John McGinn,18.0,18.0,1538.0,3.0,2.0,0.0,0.0,2.0,0.0,2.7,2.7,1.9,0.0,54.0
Jon Gorenc Stanković,11.0,9.0,717.0,1.0,0.0,0.0,0.0,2.0,0.0,1.1,1.1,0.2,0.0,17.0
Jonathan Hogg,29.5,29.0,2387.0,0.0,0.5,0.0,0.0,8.5,1.5,0.5,0.5,0.6,0.0,7.5
Jonjo Shelvey,20.3,16.3,1458.7,2.3,1.3,0.0,0.0,1.7,1.0,1.7,1.7,1.9,0.0,41.400000000000006
Jordan Henderson,28.0,22.7,2014.3,1.7,3.0,0.0,0.0,1.3,0.3,1.4,1.4,2.0,0.0,55.9
Jordon Ibe,25.5,15.5,1394.5,1.5,3.5,0.0,0.0,1.0,0.0,1.7,1.7,2.3,0.0,56.0
Jorginho,31.0,29.5,2558.0,3.0,1.0,2.0,2.0,8.5,0.0,2.5,1.0,2.6,0.0,49.0
Josh Brownhill,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
José Izquierdo,23.5,16.0,1389.0,3.0,2.0,0.0,0.0,1.5,0.0,2.6,2.6,1.2,0.0,60.5
João Moutinho,32.5,30.0,2647.5,1.0,7.0,0.0,0.0,4.5,0.0,0.6,0.6,5.2,0.0,68.5
Juan Mata,16.0,8.0,715.0,0.0,2.0,0.0,0.0,1.0,0.0,1.2,1.2,1.8,0.0,24.0
Juninho Bacuna,21.0,16.0,1415.0,1.0,0.0,0.0,0.0,4.0,0.0,0.5,0.5,1.6,0.0,23.0
Junior Stanislas,15.3,9.7,815.3,2.3,1.7,0.7,0.7,0.7,0.0,2.5,2.0,1.5,0.0,45.400000000000006
Jóhann Berg Guðmundsson,23.7,18.3,1661.0,2.0,4.7,0.0,0.0,1.3,0.0,2.3,2.3,3.0,0.0,64.6
Jürgen Locadia,2.0,1.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,2.0
Kadeem Harris,13.0,3.0,366.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.4,0.0,21.0
Kasey Palmer,4.0,1.0,170.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.1,0.0,0.0
Kenedy,19.0,13.5,1183.5,1.5,1.5,0.0,0.5,1.0,0.0,2.2,1.8,1.5,0.5,37.0
Kenny McLean,26.0,23.0,2109.0,1.0,1.0,0.0,0.0,4.0,0.0,1.4,1.4,1.6,0.0,33.0
Kevin De Bruyne,27.3,24.0,2067.7,5.7,11.7,0.0,0.0,2.0,0.0,4.2,4.2,9.8,0.0,138.8
