Player,Pos,Squad,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK,G+A-PK,xG,npxG,xA,xG.1,xA.1,xG+xA,npxG.1,npxG+xA
Muhamed Bešić,MF,Sheffield Utd,9,2,245.0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.06,0.03,0.08,0.06,0.08
Philip Billing,MF,Bournemouth,25,23,1986.0,1,1,0,0,7,0,0.05,0.05,0.09,0.05,0.09,1.5,1.5,0.9,0.07,0.04,0.11,0.07,0.11
Yves Bissouma,MF,Brighton,11,6,495.0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.03,0.02,0.05,0.03,0.05
Gaëtan Bong,MF,Brighton,4,0,56.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.21,0.21,0.0,0.21
Sofiane Boufal,MF,Southampton,17,6,620.0,0,2,0,0,2,0,0.0,0.29,0.29,0.0,0.29,0.9,0.9,2.4,0.14,0.35,0.48,0.14,0.48
Robbie Brady,MF,Burnley,14,5,396.0,1,2,0,0,1,0,0.23,0.45,0.68,0.23,0.68,0.9,0.9,0.2,0.21,0.05,0.26,0.21,0.26
Josh Brownhill,MF,Burnley,1,0,,0,0,0,0,0,0,,,,,,0.0,0.0,0.0,,,,,
Víctor Camarasa,MF,Crystal Palace,1,0,5.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Étienne Capoue,MF,Watford,22,22,1960.0,0,2,0,0,6,0,0.0,0.09,0.09,0.0,0.09,0.7,0.7,1.4,0.03,0.06,0.1,0.03,0.1
Dani Ceballos,MF,Arsenal,13,9,822.0,0,2,0,0,0,0,0.0,0.22,0.22,0.0,0.22,0.4,0.4,0.9,0.04,0.1,0.14,0.04,0.14
Nathaniel Chalobah,MF,Watford,14,9,777.0,0,1,0,0,1,0,0.0,0.12,0.12,0.0,0.12,0.3,0.3,0.7,0.04,0.08,0.12,0.04,0.12
Hamza Choudhury,MF,Leicester City,15,8,714.0,1,1,0,0,4,1,0.13,0.13,0.25,0.13,0.25,0.3,0.3,0.1,0.04,0.01,0.05,0.04,0.05
Leon Clarke,MF,Sheffield Utd,1,0,13.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,2.83,0.0,2.83,2.83,2.83
Tom Cleverley,MF,Watford,10,8,657.0,1,0,0,0,0,0,0.14,0.0,0.14,0.14,0.14,1.5,1.5,0.4,0.2,0.06,0.26,0.2,0.26
Lewis Cook,MF,Bournemouth,18,9,833.0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.7,0.02,0.08,0.1,0.02,0.1
Jack Cork,MF,Burnley,25,25,2188.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.6,1.6,0.7,0.06,0.03,0.09,0.06,0.09
Tom Davies,MF,Everton,19,13,1220.0,1,0,0,0,6,0,0.07,0.0,0.07,0.07,0.07,1.7,1.7,0.3,0.12,0.02,0.14,0.12,0.14
Kevin De Bruyne,MF,Manchester City,26,25,2156.0,8,17,0,0,2,0,0.33,0.71,1.04,0.33,1.04,4.9,4.9,13.4,0.2,0.56,0.76,0.2,0.76
Fabian Delph,MF,Everton,16,13,1189.0,0,0,0,0,5,1,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.0,0.03,0.03,0.0,0.03
Eric Dier,MF,Tottenham,12,8,711.0,0,2,0,0,4,0,0.0,0.25,0.25,0.0,0.25,0.9,0.9,0.1,0.12,0.01,0.13,0.12,0.13
Moussa Djenepo,MF,Southampton,17,9,898.0,2,2,0,0,4,0,0.2,0.2,0.4,0.2,0.4,2.3,2.3,1.4,0.23,0.14,0.38,0.23,0.38
Abdoulaye Doucouré,MF,Watford,26,26,2271.0,4,1,0,0,7,0,0.16,0.04,0.2,0.16,0.2,3.9,3.9,1.9,0.15,0.08,0.23,0.15,0.23
Danny Drinkwater,MF,Burnley,1,1,59.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
